id_cas,id_pobocka,id_tovar,id_zamestnanec,pocet_kusov,dostupnost_tovaru
990,11,341,136,12,na objednavku
191,4,53,189,11,nedostupne
753,10,215,26,4,na objednavku
856,9,7,54,4,na objednavku
502,11,127,236,2,skladom
965,6,16,94,1,nedostupne
777,10,433,223,1,na objednavku
592,9,68,32,13,na ceste
395,6,437,170,1,skladom
392,4,324,271,2,na objednavku
36,6,437,185,2,nedostupne
352,8,59,45,13,nedostupne
178,3,278,168,3,na objednavku
76,9,84,201,9,nedostupne
472,6,182,72,11,nedostupne
394,11,401,95,1,nedostupne
430,3,46,31,1,skladom
662,11,281,71,1,skladom
12,5,140,237,2,nedostupne
599,6,126,129,11,na objednavku
720,3,221,34,3,skladom
874,7,44,120,6,dtnuensope
859,7,301,9,3,na objednavku
825,6,67,135,13,nedostupne
247,12,66,35,13,na objednavku
56,2,111,111,13,skladom
61,9,358,92,5,na objednavku
630,8,235,204,5,skladom
400,4,314,9,8,nedostupne
670,8,157,133,8,na ceste
885,12,150,273,2,skladom
39,7,267,253,2,na objednavku
115,8,202,32,1,na ceste
226,6,217,283,9,na objednavku
701,2,49,195,3,na ceste
240,8,430,48,3,na ceste
613,11,104,79,7,skladom
880,2,171,6,5,na objednavku
797,3,124,103,2,na objednavku
414,7,253,144,2,nedostupne
512,3,16,159,3,na ceste
5,11,39,164,5,na objednavku
905,12,162,164,3,skladom
682,2,82,212,4,nedostupne
664,4,226,94,3,nedostupne
358,1,244,195,3,kloadsm
684,3,402,124,5,na objednavku
949,6,50,178,12,na ceste
458,4,285,183,4,skladom
636,6,201,144,1,na ceste
411,7,368,95,3,nedostupne
569,1,231,222,6,skladom
609,4,352,83,12,na objednavku
290,8,154,90,2,na objednavku
587,8,200,50,5,nedostupne
771,10,407,84,4,na ceste
488,2,442,106,2,na ceste
144,2,348,234,9,na ceste
802,10,423,86,3,nedostupne
828,4,57,20,4,na objednavku
135,8,184,49,2,na ceste
393,12,442,231,2,na ceste
124,2,317,249,1,na objednavku
624,10,432,39,4,skladom
289,6,114,266,1,skladom
695,9,63,116,4,na objednavku
20,9,365,12,3,nedostupne
597,2,433,21,1,nedostupne
665,5,366,45,12,na objednavku
778,3,83,167,8,nedostupne
227,3,384,259,1,skladom
934,5,286,268,3,na objednavku
264,8,40,123,6,na ceste
369,12,387,254,4,na objednavku
205,4,109,246,2,noestdnpeu
480,2,327,232,4,na objednavku
716,11,8,13,1,na objednavku
680,9,43,214,14,na ceste
991,5,235,156,5,na objednavku
727,12,428,213,3,tsdnoeeunp
128,9,82,64,2,nedostupne
23,11,197,26,2,na objednavku
5,11,7,161,8,skladom
641,1,408,177,14,na objednavku
842,11,91,114,4,na objednavku
381,8,360,123,1,na objednavku
266,2,140,6,1,na objednavku
740,8,83,29,3,na objednavku
170,5,95,191,2,nedostupne
354,12,45,172,2,skladom
353,2,146,36,15,nedostupne
657,4,304,215,4,nedostupne
542,12,160,161,6,skladom
569,6,13,45,15,nedostupne
612,6,436,151,1,skladom
921,10,379,38,5,skladom
785,7,404,17,12,na objednavku
999,6,317,235,3,skladom
768,3,110,79,1,nedostupne
66,5,321,7,3,nedostupne
289,2,204,102,4,nedostupne
566,4,230,197,4,na ceste
570,9,20,96,8,nedostupne
1,11,162,75,4,skladom
414,1,329,146,1,na objednavku
597,8,434,167,5,na ceste
214,12,271,54,3,na ceste
262,10,400,224,1,nedostupne
39,6,62,30,3,nedostupne
63,8,336,282,9,na ceste
791,3,351,91,4,skladom
389,5,260,37,5,nedostupne
728,3,134,202,2,skladom
555,7,422,245,4,bovne jadukna
893,8,388,244,3,na ceste
548,12,242,93,2,skladom
890,12,296,283,12,nedostupne
844,4,346,66,8,aoklmds
301,4,364,82,4,vnudenak oabj
745,2,423,76,6,nedostupne
779,8,37,263,5,na ceste
985,7,246,33,13,na ceste
433,2,376,260,1,na objednavku
856,5,107,213,4,na objednavku
654,4,183,53,1,nedostupne
74,1,70,283,11,na objednavku
430,12,14,54,4,na objednavku
283,11,237,217,5,skladom
778,6,48,129,4,nedostupne
361,10,368,242,2,nedostupne
617,7,69,230,13,na ceste
680,12,266,80,2,skladom
701,5,152,189,5,skladom
639,2,299,216,1,na ceste
743,8,101,239,3,skladom
460,11,194,235,4,na ceste
314,5,95,241,13,na objednavku
799,1,285,214,11,na objednavku
763,9,287,192,4,na objednavku
753,8,310,243,1,na ceste
178,12,408,124,2,nedostupne
37,8,112,154,9,nedostupne
74,8,276,273,1,na ceste
8,11,301,133,1,na objednavku
249,12,277,263,11,skladom
610,11,102,197,8,jnbnokda aeuv
263,5,170,203,6,nedostupne
268,12,249,50,5,na ceste
794,1,92,245,11,skladom
194,2,8,260,3,na ceste
140,6,83,127,3,nedostupne
354,9,199,86,14,na objednavku
495,4,167,37,3,skladom
461,4,351,152,2,na objednavku
571,11,22,101,2,na objednavku
820,9,124,184,6,nedostupne
783,12,239,146,1,skladom
93,6,194,19,10,upnnedsoet
120,1,318,195,2,na objednavku
993,2,19,172,3,na objednavku
66,8,16,120,2,skladom
932,2,85,38,8,na ceste
573,12,218,146,13,na objednavku
270,7,393,127,5,na ceste
796,11,447,210,4,na objednavku
955,5,408,240,2,na ceste
946,5,81,100,4,na ceste
702,7,304,166,3,epodntnsue
647,2,320,182,6,na ceste
819,12,311,53,1,skladom
158,9,245,177,2,dnunotespe
264,8,110,128,6,unonptedes
783,4,415,127,7,na ceste
147,6,241,197,10,na objednavku
931,11,119,113,2,na ceste
108,10,299,139,4,na objednavku
191,5,443,39,2,na ceste
306,3,242,52,1,nedostupne
409,7,94,64,11,na objednavku
426,6,186,195,3,na objednavku
584,5,313,196,13,na ceste
283,12,440,169,5,dpnutesoen
131,5,73,14,12,na ceste
505,7,149,216,3,skladom
369,9,46,190,12,na objednavku
874,3,40,57,9,na objednavku
500,5,111,276,1,na ceste
628,8,125,4,4,na ceste
166,12,251,74,2,na objednavku
968,7,14,90,8,nedostupne
958,5,108,107,4,skladom
351,9,174,226,9,na ceste
861,8,342,240,9,na ceste
617,8,45,112,7,nedostupne
79,7,1,276,1,na ceste
985,3,60,38,1,na objednavku
631,5,98,15,4,na ceste
501,9,357,84,13,na ceste
397,7,103,168,12,na objednavku
827,11,87,280,4,na ceste
113,10,169,156,3,na objednavku
374,3,281,73,2,na objednavku
421,7,132,124,10,skladom
923,6,126,160,15,nedostupne
122,9,369,58,5,na objednavku
739,7,68,277,6,nedostupne
668,11,130,99,3,na ceste
260,3,28,165,2,nedostupne
122,3,207,218,1,skladom
693,3,157,85,3,nedostupne
26,8,298,265,4,na objednavku
425,10,37,20,3,esaten c
964,4,262,9,4,nedostupne
846,4,210,81,9,na objednavku
142,5,385,136,6,nedostupne
427,8,20,180,2,nedostupne
539,11,6,18,1,skladom
965,10,302,5,5,nedostupne
925,11,418,272,3,skladom
625,12,379,230,3,nedostupne
443,6,169,71,1,na objednavku
671,12,119,264,8,nedostupne
962,7,72,202,3,na objednavku
616,7,395,139,2,detnusnope
310,4,431,92,2,na objednavku
479,5,139,104,2,nedostupne
572,2,319,72,3,na ceste
629,12,18,190,13,nedostupne
648,12,11,179,11,skladom
898,2,359,67,2,na objednavku
124,4,444,191,2,na ceste
244,12,305,33,3,na ceste
654,4,10,258,4,skladom
476,2,82,257,12,na ceste
966,3,381,194,1,na ceste
30,9,50,42,4,na objednavku
698,3,131,67,2,nedostupne
262,7,430,244,4,skladom
903,8,203,266,1,uadj vnbenoak
392,12,62,61,6,skladom
211,9,348,104,1,na objednavku
959,12,396,65,1,skladom
783,1,377,198,12,na ceste
892,12,14,231,2,nedostupne
492,3,157,214,2,nedostupne
584,3,159,148,6,skladom
314,5,280,17,6,na ceste
447,1,51,216,3,skladom
978,7,252,256,9,na objednavku
524,1,34,84,6,skladom
560,2,262,150,1,nedostupne
569,11,183,58,6,nedostupne
524,10,249,257,4,skladom
463,6,272,235,1,cesn tae
203,3,155,262,4,na objednavku
544,4,383,249,7,nedostupne
678,12,55,242,3,na objednavku
893,11,320,69,4,nedostupne
253,7,384,166,13,na objednavku
764,8,48,11,1,na ceste
343,10,135,50,2,skladom
391,1,180,203,2,na objednavku
175,12,38,17,4,nedostupne
149,10,312,167,1,skladom
710,12,157,223,2,skladom
325,2,52,25,5,obanunk vjead
176,12,306,29,6,nedostupne
97,11,360,95,4,nedostupne
413,9,171,116,1,na ceste
657,9,52,264,4,nedostupne
467,8,383,240,2,nedostupne
983,2,148,182,9,na objednavku
914,9,276,39,6,na objednavku
806,11,334,17,10,na objednavku
287,11,33,133,3,nedostupne
496,11,57,113,2,skladom
259,2,301,253,11,na objednavku
639,6,386,122,11,na ceste
551,9,307,43,2,nedostupne
273,10,37,19,2,skladom
380,2,176,103,8,na ceste
863,8,128,217,10,skladom
305,4,301,275,3,skladom
730,3,401,140,5,nedostupne
270,8,366,18,14,na objednavku
543,10,226,252,3,nedostupne
188,11,297,168,1,na objednavku
815,12,37,98,1,nedostupne
211,7,353,211,2,na ceste
905,4,211,254,11,ajuknndeb avo
370,7,441,221,1,udntospnee
471,6,131,186,3,skladom
197,6,422,138,13,na objednavku
471,1,114,67,1,nedostupne
450,3,159,150,4,na objednavku
772,5,159,58,3,na ceste
34,1,170,246,4,na ceste
431,5,219,187,1,na objednavku
612,1,63,41,4,na ceste
18,5,20,81,3,na ceste
876,11,309,110,2,na objednavku
591,12,261,262,2,nedostupne
855,4,211,235,3,unoaajnv ekdb
924,5,73,21,3,skladom
135,10,408,177,6,na objednavku
756,8,195,98,4,nedostupne
103,4,194,42,9,na ceste
417,9,325,258,4,skladom
724,10,438,164,2,skladom
111,9,430,172,12,na objednavku
238,9,439,71,10,skladom
611,11,390,106,2,na objednavku
840,12,410,236,7,na objednavku
642,2,249,194,5,na ceste
334,11,17,193,12,nedostupne
592,4,301,214,2,skladom
387,10,69,5,4,na ceste
373,10,242,145,4,skladom
392,12,112,38,2,skladom
723,7,62,60,3,na ceste
721,8,30,5,12,slakmdo
607,4,165,132,4,skladom
752,5,131,258,10,na ceste
119,7,90,146,6,na ceste
141,9,15,102,5,kn vboaudjena
961,10,211,201,4,nedostupne
498,7,101,42,13,nedostupne
201,11,10,13,3,nedostupne
91,12,223,147,5,nedostupne
126,1,110,98,6,nedostupne
851,2,365,166,4,nedostupne
818,9,158,82,2,skladom
833,6,236,29,2,nav onaudekbj
138,2,309,86,2,na objednavku
232,12,322,107,10,na ceste
418,8,184,212,10,na objednavku
957,1,46,224,2,skladom
131,6,341,121,4,skladom
850,3,422,179,3,na ceste
445,2,236,115,3,na objednavku
915,2,290,115,1,na objednavku
857,3,136,124,2,nedostupne
576,1,70,208,2,skladom
727,1,112,268,12,nedostupne
50,10,341,148,7,nedostupne
539,5,440,204,4,nedostupne
48,10,121,90,6,nedostupne
196,5,195,2,3,nedostupne
763,6,98,174,4,nedostupne
418,8,250,52,1,na ceste
299,10,385,40,1,nedostupne
107,3,217,152,1,nedostupne
789,11,165,282,2,na objednavku
317,11,397,3,3,na ceste
131,3,439,101,1,na ceste
68,9,414,258,1,nedostupne
91,1,122,247,6,nedostupne
570,8,436,108,1,nedostupne
215,12,263,87,5,nedostupne
529,2,26,139,3,na ceste
59,8,137,187,2,na objednavku
934,5,193,269,1,na ceste
750,8,301,241,1,na ceste
448,6,306,29,11,skladom
476,6,450,90,5,na ceste
252,1,143,202,1,despeuotnn
955,11,136,181,3,na ceste
273,12,56,3,3,skladom
715,3,261,2,1,skladom
899,3,331,77,2,nedostupne
484,9,337,159,14,na ceste
692,6,93,172,4,nedostupne
741,10,82,174,1,skladom
313,10,266,201,1,skladom
123,4,374,204,3,na ceste
344,12,443,54,11,skladom
302,12,232,110,2,skladom
566,9,14,67,3,na objednavku
936,2,268,82,6,na ceste
368,8,81,122,15,nedostupne
963,11,315,232,4,na objednavku
222,4,297,15,1,nedostupne
450,11,445,37,1,skladom
639,8,417,152,2,skladom
166,12,135,19,1,eajunbnkod va
644,3,270,153,4,na objednavku
305,9,232,36,10,skladom
179,9,374,218,4,nedostupne
107,10,45,195,8,na objednavku
670,7,450,216,15,na ceste
539,4,7,251,3,nedostupne
358,10,51,227,1,na objednavku
495,8,314,124,10,nedostupne
848,10,7,69,2,na objednavku
700,4,82,282,2,na ceste
811,5,365,64,4,nedostupne
580,4,140,269,9,na ceste
481,4,50,219,12,na objednavku
963,5,66,129,5,na objednavku
134,1,408,72,3,skladom
11,8,295,255,5,nedostupne
61,7,262,254,3,na ceste
209,5,398,99,4,na ceste
60,2,412,274,2,na objednavku
226,7,413,11,1,na objednavku
995,2,450,76,5,nedostupne
86,1,269,125,3,na objednavku
510,9,141,8,3,nedostupne
602,5,151,199,5,na objednavku
760,10,222,125,2,na objednavku
123,4,379,142,10,nedostupne
517,12,386,229,1,na ceste
920,10,244,85,1,na ceste
860,3,136,107,2,nedostupne
347,3,349,226,8,na objednavku
717,3,397,16,4,nedostupne
559,12,202,43,14,nedostupne
745,9,84,278,13,na objednavku
287,5,427,168,1,na objednavku
120,9,386,82,1,na objednavku
621,1,277,137,12,nedostupne
590,6,224,19,5,na objednavku
356,9,22,2,6,nedostupne
889,4,98,116,2,nedostupne
410,5,35,203,1,na objednavku
681,4,307,188,3,nedostupne
999,7,136,204,6,na ceste
99,5,171,31,3,nedostupne
182,1,75,124,1,na objednavku
694,6,275,6,4,nedostupne
757,9,111,166,4,skladom
947,11,389,26,4,na ceste
191,8,36,148,1,skladom
561,2,175,180,6,skladom
185,1,392,127,12,na objednavku
366,12,308,185,15,na objednavku
68,5,288,235,4,skladom
203,8,231,253,3,nedostupne
323,12,250,123,5,na ceste
194,8,274,138,2,udstenepno
38,7,234,4,4,na ceste
455,11,121,149,4,nedostupne
831,6,102,156,1,nedostupne
620,2,325,87,3,na objednavku
709,8,195,239,5,na objednavku
803,12,251,236,2,skladom
751,7,251,162,10,skladom
3,8,276,169,3,na objednavku
753,7,338,217,5,skladom
350,5,19,122,1,na ceste
40,8,24,260,14,nedostupne
203,12,412,234,1,na ceste
697,9,310,68,9,skladom
232,6,25,173,9,na objednavku
473,4,216,141,1,skladom
627,1,439,135,1,na ceste
614,7,343,195,2,na objednavku
382,1,414,38,1,na objednavku
908,11,448,272,1,na ceste
888,7,188,67,1,skladom
111,8,289,54,9,na ceste
410,9,258,9,1,skladom
362,1,258,203,9,na objednavku
712,12,13,197,6,na objednavku
194,6,241,241,10,na ceste
194,5,283,104,5,na ceste
553,12,423,65,13,na objednavku
564,10,417,4,3,nedostupne
548,3,397,226,2,nedostupne
847,12,60,263,1,nedostupne
258,5,306,38,4,nedostupne
405,5,123,240,6,na objednavku
576,2,360,136,13,na objednavku
984,3,212,125,2,nedostupne
113,7,104,231,12,skladom
504,6,371,182,12,nedostupne
313,3,22,274,3,skladom
950,5,217,28,3,na ceste
564,10,448,271,1,na objednavku
243,5,392,252,11,nedostupne
884,12,249,71,4,nedostupne
971,11,36,54,4,nedostupne
595,6,34,41,2,csae etn
883,8,331,110,1,nedostupne
532,5,363,203,2,na objednavku
447,7,420,235,4,na objednavku
457,2,340,79,1,skladom
195,6,106,161,2,nedostupne
576,5,449,87,5,na ceste
605,7,177,55,2,na objednavku
834,9,192,202,10,nedostupne
988,5,183,167,10,nedostupne
429,9,448,181,4,na objednavku
319,11,210,105,4,na objednavku
497,3,148,47,12,na objednavku
885,10,92,252,6,en bojadkanvu
81,7,388,186,1,na ceste
622,12,436,34,4,na objednavku
696,5,199,59,4,skladom
779,8,209,72,3,nedostupne
66,11,39,204,4,nedostupne
642,7,20,84,3,nedostupne
165,10,103,174,9,na objednavku
270,8,413,163,11,na ceste
174,5,162,36,10,nedostupne
967,9,408,17,3,nedostupne
912,10,116,155,1,na objednavku
508,11,375,209,6,na objednavku
198,4,223,17,5,skladom
694,7,309,69,4,voajnudnekb a
516,12,368,105,4,na ceste
260,5,447,85,1,na ceste
798,3,294,277,7,nedostupne
774,9,132,108,2,snea tec
700,7,256,178,3,nedostupne
279,12,129,97,1,nedostupne
622,6,270,126,2,na objednavku
286,9,320,55,6,vdakbanuno ej
312,6,430,180,10,na ceste
767,1,258,38,8,nedostupne
499,12,322,104,4,na objednavku
807,10,369,70,7,nedostupne
62,7,89,281,3,nedostupne
271,12,175,197,2,nedostupne
146,9,168,81,3,skladom
516,1,260,144,3,na objednavku
933,10,396,246,1,na objednavku
124,4,435,213,3,na objednavku
331,7,58,141,2,na ceste
155,10,78,74,1,skladom
860,11,386,51,5,nedostupne
591,5,385,225,6,na objednavku
247,7,447,43,4,nedostupne
698,12,400,260,13,skladom
255,3,181,221,1,na objednavku
498,7,426,220,4,skladom
586,5,94,198,1,nedostupne
314,12,225,7,13,na objednavku
936,12,403,131,6,skladom
283,1,217,280,3,enjabua okdnv
266,5,230,97,5,nedostupne
612,9,33,278,12,skladom
433,8,348,248,4,nedostupne
902,5,159,57,14,nedostupne
480,5,361,206,3,na ceste
297,9,129,147,7,skladom
566,10,162,106,3,skladom
60,10,374,252,1,nedostupne
523,2,14,35,7,skladom
792,3,307,11,1,na objednavku
509,8,435,90,4,nedostupne
798,12,22,94,12,nedostupne
168,7,122,183,4,skladom
779,4,62,109,3,nedostupne
326,6,354,278,2,na ceste
542,4,293,52,2,nedostupne
178,12,139,250,3,skladom
396,11,25,252,1,na ceste
362,7,406,232,11,na ceste
596,10,219,27,4,na objednavku
502,2,215,93,2,nedostupne
205,11,379,143,2,skladom
680,5,422,229,4,na objednavku
761,1,72,7,3,na ceste
659,6,142,225,9,skladom
957,8,378,37,4,na objednavku
808,5,437,245,1,nedostupne
765,4,54,64,12,opntdesnue
936,11,353,40,8,skladom
996,3,412,92,2,nedostupne
803,5,211,81,3,na ceste
981,3,268,46,1,nedostupne
609,1,159,19,12,na objednavku
197,11,241,129,4,skladom
853,2,91,92,6,na objednavku
177,5,10,63,9,na ceste
888,11,73,246,3,nedostupne
933,10,426,108,13,nedostupne
827,9,196,3,9,na objednavku
769,8,63,223,7,nedostupne
785,12,391,274,4,dsnpeueton
226,10,36,20,7,na ceste
10,6,391,223,7,na objednavku
268,11,374,57,1,na ceste
284,1,442,180,1,na objednavku
887,5,270,52,13,na objednavku
507,8,329,222,1,nedostupne
87,5,123,218,1,na ceste
92,11,442,204,10,skladom
802,11,394,192,1,skladom
28,3,236,278,5,nedostupne
456,1,171,160,2,anvboekudnja 
865,4,389,59,5,na objednavku
626,1,6,114,6,na ceste
59,5,407,265,1,na objednavku
242,4,50,145,2,nedostupne
420,2,15,41,7,na ceste
753,5,322,237,5,nedostupne
626,5,168,191,3,nedostupne
826,3,295,193,4,na ceste
317,3,420,111,8,nedostupne
582,7,146,104,2,na ceste
964,3,389,75,4,na objednavku
165,3,354,192,4,na ceste
701,4,63,265,2,skladom
887,4,13,48,4,na ceste
247,9,372,227,1,nedostupne
155,4,244,272,13,skladom
512,5,434,128,13,cnstee a
460,5,75,207,1,na objednavku
556,12,235,118,5,nedostupne
195,7,409,238,2,na objednavku
707,8,369,28,6,na objednavku
777,12,20,260,8,na objednavku
913,4,312,44,10,na ceste
942,12,239,114,2,nedostupne
670,3,70,239,2,na objednavku
22,11,6,57,2,uab jvnkedaon
164,4,199,5,4,skladom
999,9,191,223,1,skladom
949,11,51,14,4,skladom
372,2,67,107,2,skladom
536,11,388,177,4,skladom
18,8,426,68,5,nedostupne
897,2,154,227,3,nedostupne
363,12,415,21,12,skladom
296,5,79,16,2,skladom
435,1,80,127,1,na ceste
640,9,273,258,2,skladom
384,2,74,258,6,nedostupne
167,3,177,180,1,na ceste
774,8,422,105,3,nedostupne
435,6,177,189,5,skladom
149,6,152,50,4,na ceste
732,7,376,120,1,na objednavku
156,2,31,216,3,nedostupne
945,10,87,138,6,nedostupne
335,4,329,201,1,na objednavku
506,10,101,44,2,nedostupne
63,7,280,202,14,na ceste
420,7,104,49,6,na ceste
805,1,317,70,14,skladom
14,2,179,265,5,nedostupne
398,12,298,92,1,nedostupne
863,5,3,9,4,skladom
848,2,306,88,4,skladom
809,3,335,81,4,na objednavku
121,3,15,257,1,na objednavku
76,6,322,117,3,na ceste
742,12,382,138,3,nedostupne
803,10,99,41,5,skladom
100,11,7,276,3,n seetac
177,10,188,258,3,skladom
337,8,83,282,2,na ceste
4,8,358,81,11,na objednavku
628,11,47,267,4,na ceste
573,9,116,95,5,na objednavku
275,11,363,93,2,nedostupne
877,6,4,241,6,na ceste
262,7,129,8,1,skladom
799,6,173,48,4,na ceste
725,3,177,49,3,skladom
631,6,112,264,1,nedostupne
99,12,334,137,10,na objednavku
495,3,209,86,11,skladom
984,12,329,225,2,na ceste
872,8,18,132,2,nedostupne
87,4,48,197,3,nnseueoptd
565,1,431,155,4,na ceste
274,8,85,34,4,na objednavku
58,6,12,79,3,na ceste
854,3,350,81,2,nedostupne
361,11,185,43,3,skladom
348,6,363,177,1,nedostupne
669,8,287,212,1,na objednavku
812,8,386,271,1,na ceste
515,4,265,55,5,nedostupne
182,8,355,4,1,skladom
687,2,436,97,13,nedostupne
162,2,279,254,3,na objednavku
612,2,150,12,3,nedostupne
369,10,2,118,1,skladom
186,3,87,47,3,na objednavku
737,12,26,26,3,nedostupne
784,6,85,100,8,nedostupne
737,6,151,202,1,na ceste
596,6,302,27,10,nedostupne
702,1,98,212,8,na ceste
223,10,247,153,4,pdnesnteou
584,4,182,72,6,skladom
420,9,122,94,3,skladom
418,2,257,100,4,na ceste
500,8,216,152,13,skladom
966,7,98,136,9,skladom
805,10,181,282,2,skladom
579,1,335,129,5,nedostupne
483,7,294,26,4,nedostupne
891,7,91,11,4,na objednavku
895,9,411,15,10,skladom
686,6,222,251,4,nedostupne
176,4,360,62,9,na ceste
277,4,181,100,1,nedostupne
327,10,418,31,3,na ceste
333,4,200,278,1,na objednavku
878,7,219,123,2,skladom
369,9,222,170,3,na objednavku
685,12,124,133,12,nedostupne
774,6,228,167,3,na ceste
459,3,52,230,4,na objednavku
988,11,44,224,6,na ceste
139,7,78,245,5,skladom
142,2,164,47,3,skladom
873,6,168,229,12,nedostupne
45,8,353,206,3,na ceste
465,1,150,210,4,skladom
458,1,246,257,2,na objednavku
318,2,436,131,3,na ceste
162,10,63,96,1,skladom
381,1,345,195,3,na ceste
262,5,309,7,1,skladom
972,12,336,161,14,nedostupne
6,7,433,67,3,skladom
29,8,344,150,2,na objednavku
203,1,262,213,14,nedostupne
749,2,111,22,10,skladom
418,2,366,190,3,na objednavku
220,12,275,235,4,nedostupne
289,5,100,278,11,na ceste
771,3,354,257,4,nedostupne
190,10,284,33,1,nedostupne
904,5,402,70,2,nedostupne
261,5,64,75,1,skladom
845,4,191,90,2,na objednavku
527,2,38,83,3,na ceste
101,11,254,207,2,na ceste
416,5,58,188,3,kvdabo anujne
640,1,69,6,4,skladom
437,10,215,35,11,skladom
598,1,140,256,3,na objednavku
222,7,266,73,1,na objednavku
332,12,282,59,2,nedostupne
987,2,186,26,5,na objednavku
347,9,407,20,3,na objednavku
359,3,185,43,41,na ceste
543,1,80,18,13,na ceste
266,9,65,95,6,na objednavku
52,10,383,53,2,skladom
106,3,285,185,1,nedostupne
794,9,118,28,4,na objednavku
111,8,102,94,1,skladom
507,6,38,103,3,spetnouned
61,5,91,87,2,nedostupne
715,12,86,272,4,skladom
969,5,379,245,12,skladom
290,10,340,148,4,na ceste
565,8,59,192,14,na ceste
958,3,104,63,7,skladom
59,3,346,212,4,na ceste
785,12,446,58,1,nedostupne
140,11,14,191,4,na objednavku
480,4,414,113,3,skladom
132,9,369,65,1,aee tnsc
381,7,262,113,4,na objednavku
951,9,281,172,10,na objednavku
817,2,151,265,9,na objednavku
797,3,228,42,2,na ceste
763,3,84,263,14,na objednavku
609,7,346,65,12,na ceste
720,11,202,189,3,na ceste
377,2,283,22,8,skladom
496,7,11,85,15,na ceste
60,1,445,158,1,nedostupne
81,5,247,51,4,na ceste
184,1,278,57,6,na objednavku
447,11,181,261,1,na ceste
568,5,15,229,4,skladom
615,4,340,57,4,na objednavku
497,9,341,106,2,na objednavku
809,8,406,135,3,nedostupne
722,11,201,113,11,nedostupne
228,2,90,213,4,skladom
249,5,321,236,14,na objednavku
912,11,156,109,2,na objednavku
444,7,112,3,7,na objednavku
890,9,345,262,3,na ceste
273,3,124,246,1,na ceste
767,3,98,162,10,na ceste
638,6,185,163,3,nedostupne
679,3,127,217,15,skladom
760,2,326,261,6,nedostupne
844,8,387,115,4,na objednavku
803,1,6,211,4,skladom
6,12,302,52,1,skladom
852,3,327,238,4,na objednavku
577,2,350,86,3,na objednavku
539,12,373,259,3,na objednavku
784,12,13,273,9,nedostupne
239,4,196,282,4,nedostupne
764,4,190,185,6,na objednavku
490,3,339,50,3,skladom
99,10,86,115,2,na objednavku
112,7,5,17,3,skladom
209,11,313,119,3,nedostupne
439,11,49,170,13,na objednavku
197,4,411,102,8,nedostupne
185,8,400,30,3,skladom
635,10,419,282,3,nedostupne
172,1,266,187,5,na objednavku
475,11,264,16,5,na objednavku
