id_zamestnanec,id_dodavatel,id_cas,id_tovar,poznamka,pocet_kusov
94,32,330,267,"mollis dui, in sodales elit erat",358
242,48,912,310,"dis parturient montes, nascetur ridiculus mus.",48
244,8,429,431,aliquam eros turpis,235
282,30,802,450,Aliquam ultrices iaculis odio.,276
266,51,216,199,"ut, nulla. Cras eu tellus eu",8
228,63,700,348,eget metus. In nec,231
243,29,62,297,enim. Mauris quis turpis vitae,40
16,23,436,93,"nunc, ullamcorper eu, euismod ac,",244
113,26,997,133,"faucibus id, libero. Donec",168
153,28,447,108,arcu. Aliquam ultrices iaculis odio.,305
232,18,537,417,eros. Proin ultrices.,42
154,14,321,275,orci luctus et ultrices posuere cubilia,181
141,24,793,165,luctus et ultrices posuere cubilia Curae,57
191,70,485,419,"Sed auctor odio a purus. Duis elementum,",339
221,10,224,447,Donec consectetuer mauris id sapien. Cras dolor,67
30,65,100,309,varius. Nam porttitor scelerisque,146
189,9,3,33,Nulla tempor augue ac,363
161,70,711,346,"oeelc sous iuud,eate p.inuSt ro mdDaru m",377
87,15,415,6,iuubesrtmnr satndaceteumsesste uo ite ta eqil ,143
32,14,881,195,justo sit amet nulla.,86
236,28,66,355,fermentum arcu. Vestibulum,117
161,16,437,102,cqslt irsearaouoi.ittmsNveerur  p,236
103,4,494,79,sed turpis nec mauris,363
190,62,241,299,Nulla tempor augue ac,267
137,29,411,282,"rutrum urna, nec luctus",111
43,38,104,4,penatibus et magnis dis parturient,345
48,48,609,216,utfasetetlqeguauiQ are.rlNiva  .a cvup isim,8
159,37,452,221,Pellentesque habitant morbi tristique senectus et netus,187
52,54,358,411,"nec, mollis vitae, posuere at, velit. Cras",241
271,62,137,322,sapien molestie orci,117
202,36,364,209,mollis. Duis sit amet,159
32,51,628,289,arcu. Aliquam ultrices iaculis odio.,161
210,9,625,128,Etiam vestibulum massa rutrum magna.,152
270,55,573,117,mauris blandit mattis. Cras,280
39,4,900,388,sit amet risus.,219
214,12,480,281,"pede, malesuada vel, venenatis",236
247,62,11,180,"Duis mi enim, condimentum",340
51,43,551,35,enim diam vel arcu. Curabitur ut odio,217
195,30,249,129,eros non enim commodo hendrerit. Donec porttitor,105
116,44,157,19,diam dictum sapien.,339
135,53,694,135,i risivasu e aag.treuul sD  Pat.dadvatrlaniiegnsg,17
168,4,235,171,felis ullamcorper viverra. Maecenas,377
121,61,644,32,augue eu tellus.,348
152,60,161,126,"est ac facilisis facilisis,",161
110,21,219,98,ac metus vitae,261
215,8,246,412,tortor nibh sit amet orci. Ut,84
231,51,740,215,Fusce aliquet magna a neque.,251
31,10,648,85,Nunc ac sem ut dolor dapibus gravida.,187
263,21,717,78,vel sapien imperdiet ornare. In,6
1,62,136,52,eu turpis. Nulla aliquet. Proin,373
106,51,129,424,lacus. Etiam bibendum fermentum metus. Aenean,5
258,68,98,394,"pharetra, felis eget varius ultrices, mauris ipsum",31
136,24,779,219,"blandit enim consequat purus. Maecenas libero est,",112
188,19,147,418,Duis volutpat nunc sit amet metus. Aliquam,289
111,14,536,91,penatibus et magnis dis parturient,61
54,4,715,99,sociis natoque penatibus et magnis dis parturient,18
164,13,217,376,vitae erat vel,104
121,10,325,277,eget metus. In nec,161
243,22,520,230,"tempus eu, ligula.",57
57,14,118,416,nunc. Quisque ornare tortor at,257
238,42,329,342,"enim, gravida sit amet,",276
184,20,216,81,senectus et netus et malesuada,349
168,68,711,240,adipiscing ligula. Aenean gravida,246
127,33,646,287,"m.prsnues rdstsriimu eucucaldatn i,neo tus rti",359
250,65,972,290,"consequat nec, mollis",334
132,17,510,128,mollis. Duis sit amet,132
105,67,378,53,"elit sed consequat auctor, nunc",344
160,51,185,286,risus. Nulla eget metus,59
171,5,904,235,"mi pede, nonummy",170
117,41,168,391,"leo elementum sem, vitae aliquam",323
27,10,101,383,"ultricies ornare, elit elit fermentum risus,",288
166,69,244,352,nonummy ipsum non arcu.,149
34,53,684,297,"tellus sem mollis dui, in sodales",112
237,21,53,17,ac orci. Ut,288
240,34,386,172,tellus. Aenean egestas hendrerit neque. In,32
51,50,645,438,lobortis. Class aptent taciti,158
216,52,693,372,Cras interdum. Nunc sollicitudin,208
248,59,939,138,ee a.l.t qtdaaoia lie SPuvlrdmiuens,260
23,64,903,425,"nulla. Integer vulputate, risus a ultricies",164
70,46,922,78,erat vel pede blandit congue. In scelerisque,229
55,5,943,50,"pharetra, felis eget varius ultrices, mauris ipsum",357
232,28,762,203,ut quam vel,67
72,5,433,409,"pede sagittis augue, eu tempor erat neque",283
111,57,273,323,"sem elit, pharetra ut, pharetra sed, hendrerit",311
209,32,611,310,"non, dapibus rutrum,",198
258,4,985,302,"tincidunt nibh. Phasellus nulla. Integer vulputate, risus",146
91,68,829,426,"egestas rhoncus. Proin nisl sem,",303
105,26,178,283,dui nec urna suscipit nonummy.,7
190,1,39,289,"congue a, aliquet vel, vulputate eu, odio.",45
116,64,931,211,Nlve l .tr ipseiua aaguQusi.tqietmave rcuaf,286
35,70,519,204,dui nec urna suscipit nonummy.,52
148,6,858,56,"nec, mollis vitae, posuere at, velit. Cras",7
130,39,156,256,"Nullam velit dui, semper et, lacinia vitae,",107
94,63,113,260,uimi osmt neeadqacn,369
27,54,771,280,consequat purus. Maecenas libero,313
44,66,280,347,turpis non enim. Mauris,41
83,6,591,398,Cras convallis convallis dolor. Quisque,177
30,52,404,79,Fusce mollis. Duis sit amet diam eu,300
144,14,254,149,at lacus. Quisque purus,283
44,69,38,197,ligula. Nullam feugiat,143
19,42,800,73,arcu. Sed et libero.,100
64,4,930,122,"mi enim, condimentum",277
29,61,470,338,"m,n, tcntgmmdeneueieio ",203
10,27,354,448,"purus, accumsan interdum libero dui",126
267,33,777,260,"ante, iaculis nec, eleifend non, dapibus rutrum,",313
149,16,109,150,non massa non ante bibendum ullamcorper.,251
258,61,875,379, c ocueulusuesii trserocrtp tle,150
162,21,861,253,"raea tbl.sultnqoe sieu,osm sda eebiinn pcMnraetu c",19
244,8,270,298,"porttitor tellus non magna. Nam ligula elit,",361
126,70,540,203,"sed consequat auctor, nunc nulla vulputate",9
216,27,493,130,id ante dictum cursus. Nunc mauris,187
103,31,237,268,"nunc, ullamcorper eu, euismod ac,",221
9,43,836,158,uimi osmt neeadqacn,245
85,26,100,446,aliquet libero. Integer in magna. Phasellus,361
4,55,676,349,"ut lacus. Nulla tincidunt, neque vitae",274
270,53,901,86,"blandit enim consequat purus. Maecenas libero est,",59
123,45,485,313,"egestas rhoncus. Proin nisl sem,",35
148,23,270,394,"dictum eu, placerat eget, venenatis",322
234,25,180,277,"at, egestas a, scelerisque sed,",337
238,12,119,73,"in aliquet lobortis, nisi",19
211,41,675,270,eros turpis non enim. Mauris,48
92,15,455,200,tincidunt pede ac urna. Ut tincidunt vehicula,332
183,58,180,262,felis. Nulla tempor,140
29,60,625,433,nec luctus felis purus ac tellus.,292
72,30,200,305,"malesuada vel, venenatis vel,",198
64,1,930,261,enim. Mauris quis turpis vitae,40
23,9,247,67,luctus. Curabitur egestas nunc,353
94,44,264,102,"Nunc lectus pede, ultrices",125
237,68,616,116,vel sapien imperdiet ornare. In,132
246,20,903,256,ac arcu. Nunc mauris. Morbi non sapien,231
191,30,157,288,tincidunt vehicula risus. Nulla,22
165,33,772,203,purus. Maecenas libero,358
26,29,347,102,"sit amet, risus. Donec nibh enim,",218
137,1,709,302,erat vel pede blandit congue.,12
155,54,965,295,"mteem eeer Q siipe.igd ctsuu.un,lsar tiaqutI",348
216,44,676,359," i aqm quflssuibcsas Pci,p sliio.tideusarlaauhv ie",357
140,66,196,25,libero. Donec consectetuer mauris,186
66,30,317,253,"vitae, orci. Phasellus dapibus",157
3,69,273,18,morbi tristique senectus et netus et malesuada,137
121,11,306,101,nisi. Cum sociis natoque penatibus,130
203,4,559,396,urna suscipit nonummy.,295
34,40,186,104,ipsum primis in,244
128,10,122,214,Donec porttitor tellus non,66
57,37,806,231,vulputate ullamcorper magna. Sed eu,321
252,41,885,286,enim diam vel arcu. Curabitur ut odio,96
283,44,288,254,ornare. In faucibus.,32
124,12,205,48,"nec ante blandit viverra. Donec tempus, lorem",25
22,51,263,194,teuaurenlysi tcio mrnm,318
59,51,691,127,"mollis vitae, posuere at, velit. Cras lorem",123
54,13,171,129,ac arcu. Nunc mauris. Morbi non sapien,235
257,69,294,328,massa rutrum magna. Cras convallis,191
31,3,708,74,"vitae, aliquet nec, imperdiet nec, leo.",109
198,43,808,162,volutpat. Nulla dignissim.,260
254,28,68,201,elit erat vitae risus. Duis a,29
80,38,934,372,nulla. Donec non justo. Proin non,129
46,31,929,425,"diam lorem, auctor quis, tristique ac, eleifend",79
149,8,333,204,"risus a ultricies adipiscing, enim mi tempor",171
119,20,751,441,Nam ac nulla. In tincidunt congue turpis.,28
196,45,218,85,aseentctc.nD ouiseee romuil orrbc,71
258,17,858,443,"est mauris, rhoncus id, mollis",340
282,7,184,419,diam vel arcu. Curabitur,262
94,31,146,1,"lacus vestibulum lorem, sit amet ultricies",51
34,12,47,74,nec luctus felis,246
42,68,755,435,"nisi nibh lacinia orci, consectetuer euismod",339
40,33,615,56,convallis ligula. Donec luctus aliquet,96
142,46,7,2,"ultricies ornare, elit elit fermentum risus,",61
259,36,146,261,aliquam eros turpis,267
111,18,505,331,"consectetuer, cursus et, magna. Praesent interdum ligula",363
255,61,555,64,felis. Nulla tempor,268
131,2,240,431,"In mi pede, nonummy ut, molestie",205
54,58,337,398,Duis dignissim tempor arcu.,833
20,16,220,69,"Sed auctor odio a purus. Duis elementum,",214
190,20,42,101,amet diam eu dolor,73
29,17,36,169,"consequat nec, mollis vitae, posuere at, velit.",129
188,22,553,389,lobortis. Class aptent taciti,315
138,7,526,32,Donec porttitor tellus,104
181,23,430,381,"sapien, gravida non, sollicitudin a, malesuada",262
273,63,363,120,"est ac facilisis facilisis,",304
82,50,388,51,Ut semper pretium neque. Morbi quis,208
215,15,470,259,cubilia Curae,167
97,29,779,360,"sit amet, dapibus id,",372
164,9,846,221,"aliquet, metus urna convallis erat,",366
93,46,223,261,Vestibulum ut eros,345
201,20,787,238,morbi tristique senectus et netus et malesuada,339
20,56,494,305,Vestibulum ut eros,265
238,37,266,352,Nullam nisl. Maecenas malesuada fringilla est.,5
150,22,861,301,ipsum ac mi eleifend egestas. Sed,192
179,34,771,205,Donec consectetuer mauris id sapien. Cras dolor,15
35,61,944,10,quam. Curabitur vel lectus. Cum,89
252,32,736,291,eu augue porttitor,152
64,24,169,133,"nisi nibh lacinia orci, consectetuer euismod",266
115,47,917,114,"Nunc lectus pede, ultrices",290
275,12,243,265,aliquam eros turpis,135
52,30,829,223,"tempor lorem, eget mollis lectus pede",273
136,19,312,142,"dui quis accumsan convallis, ante lectus",136
123,43,807,165,vulputate ullamcorper magna. Sed eu,72
242,14,516,58,"pede sagittis augue, eu tempor erat",60
275,41,33,109,"sed, est. Nunc laoreet lectus quis",49
156,41,588,347,nunc sed pede. Cum,358
