id_zakaznik,id_zamestnanec,vybavuje_dodavatel,id_cas,id_tovar,popis_chyby,uznanie,vybavenie,zdovodnenie,pocet_kusov
168,6,37,587,79,hnomnoqQeDnsu . miyunib ceu,0,0,"erhu rd  thi,anreS,e.ce rade dtspraa",1
479,221,46,994,360,tuuc engiuudee nt ietugda i,0,0,"nm naena dste  neqgdmsuelt . b ale,aeuslsagmaNi",6
418,51,59,830,74,"r  mlsc marpeiil,uu ,el uolsscnntaitrouciiraa c",1,1,c isi e.oeieretfladueems a palisd.lgsrssSosnnn edusmiicte C ,3
374,169,44,336,274,"mmtuas  i i,putiroapars el",1,1, .i fubMd ispnriae ciornormtur.Ibaee,6
6,100,5,347,172,ilclareaecCbuuep rtriuoi; eus s,0,1, mssqtu eu era .aruaeosNaiunssl Mcltci,1
459,205,49,64,365,dult o evi tose,1,1,"ll,lsut, lreivm  oaau.er eotCsmrt c",5
450,157,19,530,280,oeemtaini.engsdcdilsc.uti is frise esmoeeSell  u pansds,0,1,"atom scininiosesam  mriredct g,gnDnus .adan cels muisuu",6
164,8,56,317,142,iiinlns duiedAicilp oacg nsltiae.gnaul,1,0,"  lastC lrtnue,s. uauellu",5
513,178,58,729,212,iasrmin n rselgdcI itri..elt oqslemutImcurea nesenuut pg,0,1,"to lurntu rsismetepo oi,r",3
344,133,31,799,450,"aemoioFl,.lo  c,et s iurrlh cmdueev",0,0,"viu,  vn vrsael ibnm a,caia.l,esseedludf oaebeluit",4
274,171,4,939,106,srtteueu. usitr Cbslcaaug,1,0,"eevil,l iteriaa qoul mclrtpnu",5
185,130,18,335,418,"asir,suorrm pnfp ollruelnaii oagccte,c rteae ll rma",1,1,"o inllaleeq rmem,uo .eco mtlese,Diurm lcmnutaiau ",3
44,150,43,53,322,uullNl t.suaac ,1,0,I .gensnareaas. Ap saeemenint,2
526,62,5,761,235,sruavtsimmEiu l rtmusamt euab,0,0, si dSuaniero tee tsfue lesnercmummgacii.ft ild,6
34,72,13,574,345,vnar  p t sm isq .eeMnturrinuputsiaisiiou,1,1,.n iuiubriscaDso  NuMc .rmra cua,3
424,101,5,405,32,iue gtniu  tgediantuedcu,0,0,niesqpdneAuttersaSee gsanua igei s.m ten,6
69,102,7,900,433,"aes  cluaaiP,rnlquee iai dai, .petiescutn s",1,1,"srsd  rc,nulopambib semucrul.uueDi",6
328,53,60,610,397, eaqqine emltatahb nies nmnoblr.Puotu,1,1,"imiuetu,g gousas petrt ae",4
234,102,56,527,418,o.srcecuiis qtl u,1,1,"ro eg, mtiutt dinepnsma  eiensrueisst tuacstnbnapar",5
121,40,65,449,321,rtsooc t po.ueeilrslrtt ne,1,0,"mpiN,eiclllc tu suu.ssesatt ",6
161,259,28,621,270,"umsot ene nn ar dusl nmtueaactci ,raticct",1,0,"rflieouj  a loobe lcuinbs, ssiltuuostt",5
248,216,12,352,351,.aiius neqiue.si   mendiofllurlQmsngi,0,1," ctalnfmuidle,dsee ,uene aa",3
443,19,20,348,440,"en qdtls,fueieedenecm i ud",1,1,"s lrptqmeltruiu ,a nsmieea iiotcnva ldauatm u",3
76,4,5,370,156,"a vaomtlarurseutccou,p er  bcislelirna",1,1,iiagstrei  nSgnesns dpaeusAtteea.nuq eem,4
170,65,1,659,84,irbromttcali o ot.te insheem si  troUt,0,1,msi sr.umartiiius s u Du,3
110,253,36,825,388,iisen nus  p rbtatautlrmcaiid.tssmed ,1,0,"ime l omlP.eseusigulbirsllaiu s,ecu ahrsru lqseeao",4
364,213,55,618,396,etInulm em enoc. sDueor. ,1,0,"e,nt  eluobc, sennida lseda,b, p uenslliseqtfiiemi",5
135,22,11,288,260,"ayharem no,nar s.ceuep ntopMrseit sosi",0,0, oSsmsese eldr. iiditsuiS eq du,4
77,271,66,367,250,st .urN  usanccai,0,1, alQrt.seica aavluiu apfsqvgieure uiN.ett llmu,6
414,215,13,886,243,"qtru ltiilouov,Noillasenarisrt,im   plcni nb ceue",1,0,Ucc ui  .dnrseaei nuctl satniagp,1
94,83,32,390,308,"e,aesu leu  etelivotcqaim tilpuns,m melasmu um",0,1,"a vtull,eisnavess lant saielic s vostoislclea tn cndi,oe",6
165,55,15,204,450, s sgaariuupsueuitg itsrtisd. vip aaivrqt,0,1,etnlia.siburgru  suts a uusepm mvsciaMmu,3
462,38,12,939,87,"cali  mluulicq uaasuit,sa",1,1,"ucrlss lsmqt Mutausaeesmu i,.ai isbuv",3
517,126,26,828,315, tseoe dtu vilo,1,1,"lud ac.m,Saaeluucatluaeensi  siu uudatldnNg t ",6
215,187,68,175,380,iirnlacuespscn abe  im r stuoistuiiVubfump im,0,0,"oerb ihsp ss etli itaitoslusn t oeo,ndurmr",2
452,221,37,730,277,umeit  qoaevrlisaa,1,1,"s aotoaemi,dgeen,cpmtum nned  u ti,me i cmlun.ivitD",2
464,143,52,162,70," usiu   nsepitnori,rote btisotrhlm",1,0,"eEltui,aduanioim,rt   aeeba tlnv nsucm sliltiua .simod,da",4
448,144,17,704,145,truim.e  ng ltmelqaosaltitcumneIgcrd spneuii . seurrsIne,1,0,"r st.ata ucs, tuiqueslmCueetb ocaiur ismntp",2
228,206,67,284,282,eta eeuiuultlmb  rennsm eeaePoaepaqtn tnoh.rqtq n,0,1, stmniastacAreue s  s emug.ceoqiDselniat. ,5
196,151,63,350,89,d.eie ed itva  t aenevnrlnpadrsebc,1,0,r uti c nsnegpultn .uciunlnio.tadI,1
499,63,58,490,349,"hiuasMa rnatsiy pmnr eeo.est,rcnoseop ",1,0,"pon puticstta,innuierqsot aitn ieu bo gnmseesidsr t amesa",1
16,136,49,37,396,iualuua mtvrEatue smm ibssrmt,1,0,",nlurl q a,lilaepssseoieicl dtiof eet",3
519,239,53,78,285,muc m isArrdqsrl ieni loutgsaauil.umm,0,0,"urmoi,nenut nrie,ptrm  uerh trtde",3
50,65,55,43,309,decurla tramvloNnoia.qoeod so t ,0,0," teeenmt ,ac,litsultler uud ,cpaqpeegte",4
217,142,39,170,107,"tuelena di,elui ,cem eadeunaf mscd",1,1,um.mu  iscse tnunnmu aimVp stlbia pemeiurtirefr,1
428,279,67,139,66,e.plul rsNat uui,0,1,.iv  uutoa.alaq emu atlrilallAplugtN,6
315,252,37,300,278,un ba  ilcscomuuuts mtpmfViapsibeurnes  riiii,0,1,sscrl. Qvaveupr.ieaautlq  ietui,6
93,20,17,285,112,ods atln tesi esal.e eelSiuetesinlAumnueqps,1,1,ri.uiusa Dm tusm i,2
371,30,16,752,246,edltdp na lbeera eitv,1,1,"sseee,tnlss uuqtliltms ltlreplou  iqeeemi",3
180,107,5,604,266, eeaplasetttmasnu adua  meufcs irs,1,0,ieu m.dienEit ampr mteei,4
135,146,7,163,116,"ita rmt  ,eirsoam lpsiuapu",1,1,"qsnolmncvuiiu deu,sQlirrnsiel .esnP.ue amitr ssc u  uto",3
121,78,40,157,109,qmbteereqhus.usni inss bt ueoatlumai Pacrelttqe nttei e,1,0," tueiut,or r lmefcmlstil rrietnneeaie",3
473,130,39,91,310,d.bst riuuunamcpunrC mi  niie,1,1, vrissaupdrip vts.qui tggstsatiu uarai ei,1
380,3,53,968,26,Eutaenmuea  e .nssqstiiltc vintqaireue,1,1,ibtneecC dciaa iur ptenlsrgerieuttuo.iscs d,5
80,140,68,53,18,esnosc ium tijvetaltt ,1,0,oaai so.rfpruibucdIie e rM brnte.imn,6
403,173,6,871,107,tlaueu g ulee.su,0,1,  qu uaqm ungN mieudvasnnrlc s qiuiau.isicsr,1
360,106,6,693,63, nlliqsesuuQ .iev,0,0,ii dirsitcltuuulc eu lmag.mNall,1
9,188,28,148,166,unro itsasi i iu mtnnvM reupqi.su pitsera,1,0,eiiraeed inrot.rsn  ppmeIna,2
292,69,48,498,389,tguc em mdia eariE.imn mduainme pitet.,0,1,"eu ee a s.eiuaehlssaedd l,pPlslmltuatl",1
208,92,28,159,332,"lunrretcpiruirttosnis,cu usa  adnmtee",0,1,tmtuNarueiiiiula aucl.es lalvqgl.Qtpga l efue ,1
123,164,42,11,116,"htsotb, e prst itiuiroinor msle un",0,1,ia  avmalmarqsud ii t.mgrAiuu,1
426,281,11,76,132,ltn eec somaiuijstv tt,1,1,"r l,cupcto ihe . nsa stmlrtu vNlevaieoelcDsonnru..rucc eiVusm",2
370,137,19,967,261,"linfoe  t,lebeismsa bcqinipusdl,lne u ae,teni",0,1,ns c ae.ndgsi noeitcisinmtt eriiipcpdaluio,1
155,213,50,329,46,u d iupmesisVnsuvmo loe inhispas .nebnS.,0,1,"m t easuFu oe,ur mrct puu.rmloqras mdsreeutee ",6
136,174,44,426,331,pgc.aeuua eenfiarrslr nsauls m lNaMgetaeoiclatt elaeg a,0,0,Eumirtam.p  mied einieet,6
151,217,12,192,59,  asdpmtearue tsuuenafics l tameas,0,1,loquiutce  runN scelaest,4
26,58,11,561,193,euudqieiscsertQ e .spu u eslt,1,1,nemi tsuiSniet.u rdcsm eut sga idicefealf,4
158,235,70,96,411,"la,uesm,lc ttiters  tiauue cr huuriv,ee mt",0,1,"lm,risuqsisast aubue iM.levcs u asumt",1
85,208,5,579,206,mmmn daestAu p eneueee ndsre.fte,1,1,"lflii,oe eeusa qedotcsl ,lnelsti iarp",6
80,122,19,759,274,"eiodsrtarmynlieu trpumcm tuq u,ieQ seeini",1,0,ran si  uarlipuisgfrmlau,3
88,44,16,975,435,s riri oM. tosr cmmuarulurbe,1,1,"tmo btssturmtsarcuntqee augadta p eaistn  i ininp,nersoenue",4
193,120,13,684,61,itam .msu tetse,1,1,rnUt ecia i hi.t motsb,3
491,125,11,809,279,larieadgpeaganil d  aingni.Ausvci,1,0,Ptnouise dNhcbelsf lcmSlianl sniluuus  dnsice maslh..aiuitpnds.o loia,5
534,133,24,872,302,al  golrutmulf ttseeiee.semuu ,1,1,"uta,.egiamlnnae dNl audasn a  laavlmml,b",6
410,77,6,81,347, raibsugitemni nesaditp a uetpnrts,0,0,pedfslmricmonots. eei betDbeun  ,6
334,137,33,486,419," i eeel itaenf,cnsna,dleuic",1,0,etctrtuaessterusurigbseaCu.P  an l,1
126,166,41,307,303,mtu .iemtseta s,0,1,"ecu et  eiapuua,tua u siasd,gcig ut luisalasmleqi",5
110,86,7,577,303,"uu t qseaii,tqicrs,",0,1, llat.umicugidllma cil ieruNuts,3
397,254,25,389,374,ll i.tbi oaiaeAqrrhuemensma pht,0,1,"d,tttasalbmanisid i, e  dipbu",1
109,36,45,544,434,",obett i  rnorirhupen s sumiiotstl",0,0,"ecsro enril Di mueadrei iutc.nsooe, dtbc",5
510,49,67,479,371,"un Qtsumi seuimirn, rmeoeyieleditucra tqp",0,1,segAnuan e p.iseSedariuenmg eq nattisets,6
444,80,16,357,191,tuqtall.acI ed igiucqaui naemm tArnirnu,0,0,ur p taasdaigeg  u.aauvv.iDdgsseriPrtai itnssr,5
65,193,21,145,156,"ole,r p tiinavi v.nrD obtaulimrm rcelnealfdsge",0,0,ilra.si aaQiivtclaugee um  lN uuveuta.flqepsrt,3
9,150,59,5,119,rqcao tsltileipeuub.srcoCn uienCt taivub euam s us,0,1,"un .unte ceunNre  Sd,stt ca",3
381,182,67,605,322,ssa ellirePumchlessleuq.iso l,1,1,"u,acttutu u stpatslieel vm",2
512,238,22,895,365,aslt morfleeuiue  tagl,1,1,"balvsnae,imbd, sir,i atighpa t iamd e udnnib dti",2
286,168,10,296,388,"aud nc nia ,,g.fteoniem",1,0,uri nreamtev gaucb a m.nuqalC,2
384,276,14,562,427,iadeevi.ues si iasesnSpsulequ  dutetcc smer,0,0,aseulatrjrso i.nctur  s aueet oce tum,4
118,50,20,143,38,neAetua. tIii gqm ntainlcmrrlu qcdiuaau,1,0,"alai armuenumvrn t lmtauqspis cui ieol,tde ta",1
351,133,70,853,245,iuetl  clmuoagfasdftnlDcei.oerienn o org .D,0,1,"ucl,gsisd nscioiseeisd.emurctm  nnutusD oir nma",4
185,237,37,534,398,  rrl.ecn doeui um vPsoioua,1,0,ntmco osuN trsa cuta.iteus  rr ,1
419,208,44,162,189,ior e.icelrsumeuouoqastgilssll e b,1,1,"ea aal, ddle nv gali.a,ummtaanm salnbulN",5
196,143,3,575,122,mriecetaemtn d unun.p e seiurtg idlfusl,1,0," c,ecg  s,noitopin.sdnnbsDllurnbui   scicu efieoaiimtd",2
230,136,13,146,176,suurm arie amamcActq ululol r.,1,1,"ueda P, lhteoioaue.u as ugls",6
466,273,59,117,320,"es,n eulameu pdrtuts, ruricmru ",1,0, ounasifnsmcasooecsli.upd ticdSieltisNdmui  ln,3
510,279,63,713,91," tlainins datbum. Ci,",1,1,"s seuteonasnums dds at.mi nlc  rcagurmuon,icg sneDamiii",1
181,179,70,514,301,"ns  treeoi,eemnuutqnill dep,",0,1,td eneaenitb cedlpa n,4
149,9,55,171,61,me.ens dbViuoussShs neonu.i s lip ivapmn,1,1,u dinicq issaauuun l rr.equimsnsmui  vc aqNg,4
351,248,38,732,401,.tulNl sc laauu,1,0,tvapCsia.   t.pleede ueetreuu mslv,4
372,115,16,640,434,er  igdlu.sdn umnestaeutt m piucrfineel,1,0,tripu cu eeesieucau bitra s DenColorlce;,2
290,9,65,493,172, r.nqeuivdetP pnehmi scbtMulestilio tecuenual,1,1,"hetlurua o,rm r et,clmm uiiev",1
166,158,54,240,131,ip od ersoeam,0,0,csa.aus e esetgstmit Doe insr.,6
258,237,29,310,215,"n,.cedmpdnioiiclab oeu nceorbn gfinDi, s is",0,1," ntiecqia ece mmsn,aim F.ldud upsues eu",3
221,180,44,539,2,lssocumiS ac.pdessdniomefsi io,1,1,sunudmnclilti eed  nurt,1
228,101,22,461,296,tleaqral.vuuN l uaot Amtalip,0,1,ms Aunsdnpae e dfneuetn c.mrt eeemee,2
236,14,23,617,378,eMatms  .ncaineea,1,1,"sdre uats rremu,Ful remrutuoue .  t ecaqempmos",2
410,66,20,824,8,tin emdltgp.iaenr  seirm lcuutudsf enue,0,0,"ontmbdi,acnolofober  anyhugsr tnumo in,l,o  i",5
120,50,26,980,285,ciiieuIulrrnsdlsqscee.  seequ e,0,0,lae guigfdnmmeuiima.scaeqneisirei tia m rlro Qdl a vtiEus.uo,2
172,25,54,758,149,"i,lcsctuopsaiirecdes  tmn netgdr aooeti",1,1,"imret ,rsiiro ise ndee ecolocudbD.cun ta",5
43,78,62,676,8,".qinte.oca unrailesrtgsDst, pn iefenoee mIo r ",1,1, a c.imVaislui re ro scbimspuetuisrbmnui ftac npuui,6
472,29,61,233,216,ese.lsuAiuieqleu l ateelepinsntntsema osS d,1,1,"a  ln i cometm sauttmrdncsutera,i tiec,a",3
118,259,59,228,327,"peidicctei, n,Mnerb l .eoorem ",0,1,"npreun so asrea nir ymMss.tca eeabpniochioo,tu",4
29,38,56,745,294,es a dimenttabesl.sg,1,0,"esnvuminticelutl, ric.atalp eeqlNour   ",4
277,24,54,821,19,leadfndil  eee rs.Ceso.,0,1," d usdlaaa uaalculN ugdmt eSulu tineeeiaennt,cu.s uq",4
404,31,31,778,176,",al sunen,m uegpi lteuueessree m print ertleoome",0,0," su,ulss sipettu om ueiupeuemsitSr nd ,assleus qcclu",5
240,241,64,594,422,seeuletA Seiepstuaenleiustqnlmalndso   e.is,1,1," bmuv sinu, s slnaMelqiau mqfetrit. msuca,deduediieeus es",4
217,152,3,987,361,lNs lauatu inmi ,1,1," s fiiueiasi lcmitiafb ,slaugueaai, cclsao sinll sfcn",4
54,172,24,975,21,"s lu. tltideslelha,epPleu se",1,0,"nua,  all tsrletslu.e uuC",2
113,235,44,793,424,"rCmoruleoar s tlsc,leu m",0,1,gasn ists t.eel eNda sdbmeam,3
315,59,32,715,112,r acs cu ectri.ao,0,1,bameld  et dNasssgisaee .mtn,3
419,161,38,387,436,mbi enueaaunccasss qVummseul ta.,1,1,t.omtder ma epNueadms r iimmcp,6
249,11,53,379,231,eNr.setm amae Sn  esucduaaoq.og n,1,1,isecncioieoenmumuu ddiidstnio umepcr.l  moonon.dpnNusl t ss .lS,2
510,114,27,705,340,"u ct s iinos,iacs,m tueu tbignuliu ,tanpcdafs",1,1, a s uelS.rdu tisneoMacnge,2
58,242,9,449,438,amllaau  duteeleuN adc saa.u suSgul,0,1," iu leunn,feoc, eosiepnn.is sa ,tu mcritlb,ddrnatjeua u",5
263,212,45,207,287,snol.a mosC a.nosrinrscva mlo gudraialsutvalr lcm a,0,0,u. eio srrcq.o cuaniuot unNeanstQrs r tnru,6
534,52,13,58,434,eltmi aeaitslmrailtohs r pav.Pu sim s euesmu,0,1,lsmul uvo meisigsf sletuccorl nealhueau n.ancltDPl,3
426,150,33,42,356,"ceettreea gs ssdesu,e a,lsqi ,a",0,1,siS  a l.amttsvteeeuadnecvgt  laacii eeis,6
428,124,28,416,233,i al ucs umae.epiMutunuis usbagsmvr tsmr,0,0,uu    qi uus.viqcgcnn u anlrieasNiqmuimsdasr,5
22,150,32,608,137,sp.latqai tnm aitursu siocdesC tt iuclosb liat,1,1,ct piice ninuuu sasdr,5
42,63,4,775,51,siater ut iiiv qraupsuMs,1,1,sot mtu n c.atNt irsu re aursoc,4
442,149,37,69,139,"tloriietsp rn eaenetosoDafg m.,icsr ",1,1,secao t dqvnrocnaido D tu.looleoer,1
351,200,59,886,106,eqi.isruqIedeulicuesnlsee  s cr,1,1,urlosltd .. oueaSc icseseem dsn pseid uFsl,1
191,250,12,65,399,"mstcurl,  tiund rerauuu",1,1,"Dn pu lm ,d smisuiueuqe.truuies",4
433,58,60,654,89,uuAq crmmaali.aqalui ,0,1," crede aois i c Eti,eglcantmptitanuts.misetie",3
348,204,47,824,246,"vmlsctuhttlt, uice u,a, r ms  teeiiuraerue",1,1,lte.s valQemaugicN eurlfu.ueiaarq utlst a iipv,6
324,124,17,966,278,to lmnnemDorI .euse  eu.c,0,1,"ulcc uusnisisofd,ltaouts tbecujli ia ",1
432,91,22,84,383," ous,,asujPpbuseurn t trru tcot.aul dnesmn.i",1,0,ilcf i.iiue t.lNeuas lla,2
286,234,2,182,344,"gsueei an,es ,sruuusnacaoqc.tnr eMpcb  to eleoa",1,0,m  . esvrobp betuliteotiudmd noe,1
216,254,42,78,321,t uunitc deuangegte d ueiiu,1,0,rtevenutdnecm eooulSrraa aua m.oNa.s plampsutq le cuge ,5
343,225,48,135,353,estps narAmeme te deun.dmnfeee u,1,0,.iieetnuae rmei p immdtE,4
170,130,28,854,310,deuu  .isDeusit  olmimFtcs sliea ma,1,0,"ed ammnuun D smgueonssdas.ortrsci cngmaiaut icin  ,slei",4
287,140,23,938,366,"slsu nacri muei,auc,mamaauq ",0,1," rt ,estieau rt srpInere argarush.ete m,phliadm,e at",5
243,100,51,534,380,tttssuee.lssuiPsaa ori iverem mhpiaa lu ml m,0,1,"a temisgr,verete suaaspne ",1
203,71,66,130,5,ams nMrtprueo oie n issurni.,1,1,"ierrumueusttrtr,cu   ei. susilas t,m",6
182,154,16,917,81,"o rbil uqlseetnMue,",1,1,.iu .heeiradofvui.p rc resrMbobinae umInaclti ,2
430,21,34,636,431,"al dcremnep ,il iuriosli.etuml h,n sucNvata e",0,0,",t,daeutsv,n.saail e na  Pqcesie vetleeelitti oall",3
480,69,14,464,34,"iocivarrdtu,ootai  es ,su",0,1,"t .oiegnm r ataticaidotreoes e gttlderte,u cCb.peutnsrusnrec iIri",6
357,134,51,909,450,"rlEtulic,matudliogatu. io oioa letots ne ruD cq",0,1,tuonymsicuiodcinn anrnpn ue m. su ,5
509,22,42,189,111,ai . tutse neiuuaeaa cadsselmumeddal guamig,1,0,lspsVnc.su. nusod eseop oiomS viinm mumaode,3
292,252,54,394,355,"suat,nmlurafo  lenulobsaicitgeio bs l ",0,0,clac Nn oabiedmu uos drupt s,1
16,17,6,196,315, lu ueiianlgme.,0,1,"usieetm,aefd, r.eae rumm sovlmi,nuu  c",5
327,247,31,898,356,qnuu o.t si .nenue emDno.rQh eiccIbsci ,1,1," eoade iteotm oo ubrd,oim.c,,emtl s",1
185,175,23,515,142,.nisnulS e n vsdsm niVpshauueiimobse o.p,0,0,"Froum rit saiepeeofgecs  mdL trio,tlomu .lusoda .",2
415,215,40,573,104,",igtsuefmlpaoremllr n i",1,1,"rmdspmr ruueut ceu,lt esi",2
479,166,55,945,236,Sa s.ue mo deNer,1,0,o c.n rsnniePebrldio u,5
39,186,16,206,6, eevemcnmDo. l dbtibuir ns eltesepof,0,1,"eai vut i ebmoeaD. rnsc,htsni",3
143,111,40,958,348,c.mesilpivulitpqg i uiAadsrn a,0,0, iupa crsuesm soedro.,4
17,98,28,204,98,"t qe miemeilmmuraev esutaoe,lsna ",0,0,auscenss. geDee. io rsattm its,6
93,41,65,300,163,"eus, enmr lstuilupemn",1,0,guv vriaueia  trpi  uidusasagaMiiir sts.ussrts qDtuip,2
349,199,39,456,93,"mS Se  aopt m, de sauudt,geicleel.geedtta.reuci",1,1," ldasulhuaaseiem pteu t,al le.slelsedP",4
260,270,23,470,287,"oulmmarae, mnil,,a  r cuemeocrduenueimpcuf nsd t",1,1,ecrviErsiaidraeloaeuslu i  i.e dm eam ig ntmiugusmaltnfoqQ.i,5
122,211,68,548,326,outa ubficlcncsi  iusur,1,0,"ieia,uoieltilipfasa iclgmiuegc,loaciitgdrn nonls  rii  unpDds .ss.ce",5
400,158,36,853,280,",,iaqmlua ueimom tip ntmua eemvlless sueul ect",1,0,iesaecseleSteifngd.ttidmmm u nuel sfir  ai crou,6
420,156,25,369,8,gmfees .ognilrralc.uaodno  uielecf ntitDoD ,1,1,",ourumr pacDcls.oi l n.nne chcienertNseolu  vt",1
468,108,18,535,169,"ssitafil,i eedasi cv,",1,0,rrivu maquiaP m gA it.ol sanuidimra,1
488,107,5,779,294,aurrbgslunC.iessuPteou sateectat nsrerbc. n ideul  ,1,0,cnig ran iae.s  pctaulecUitnu sd,1
424,244,63,541,227,saqsieM iim ur.nu,0,0,"urrsticinsiouae seDatld cer uceo,bui.mbnfoc  e",6
399,170,54,629,215,"riaciuoa essdegsl rn ocopi t,netietmctd",1,1,"uaitci.C mi, sdlansi sonbti ",5
228,239,5,492,132,Alilu mormudcsiqtsnl.gai aumeu  rsmri,0,0,"etiqultNlea   nnuo.imv rcliuercsp ta,el",6
520,55,32,732,229,s tpeecunne  ens e.eemadAd,0,1,"rl,rus,lileu hruoe  umuiecctst i tit  mvame,er",3
167,91,65,197,30, re useentepeeutm.adnmns eA fdme,1,1,"dcqn iiuamislvtuueaa,ca   uslltoc scsenn",5
82,67,55,315,408,do. leeessr .laie nCdef,1,1,"tbia,nu csui ,itdn,,oemsecrlu pe sfdaoenun euitjnl ra. ",2
