id_cas	id_tovar	id_zamestnanec	id_pobocka	id_zakaznik	druh_otazky	text_otazky	text_odpovede	uspesne_vybavenie
758	145	85	10	274	hry	condimentum eget, volutpat ornare,	nibh. Aliquam ornare, libero at auctor ullamcorper, nisl arcu iaculis enim, sit amet ornare	1
747	276	147	2	388	hry	arcu. Vivamus sit amet risus. Donec egestas. Aliquam nec	fermentum arcu. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere	0
567	122	267	6	288	kniha	rutrum eu, ultrices sit amet, risus. Donec	Curabitur egestas nunc sed libero. Proin	1
207	281	73	6	301	filmy	mollis vitae, posuere at, velit.	elementum at, egestas a, scelerisque sed, sapien. Nunc pulvinar arcu	0
409	290	57	8	241	kniha	nec, mollis vitae, posuere at, velit.	elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet	1
350	31	210	6	319	kniha	purus gravida sagittis. Duis gravida.	facilisis, magna tellus faucibus leo, in lobortis tellus	0
257	89	33	3	505	filmy	 isie.a slushplsfesnsSe ein.uad lsev c aa sl eqiarCdmeeo.dtrueaC	turpis. In condimentum. Donec at arcu. Vestibulum ante ipsum primis in faucibus	1
574	402	258	9	392	filmy	vestibulum massa rutrum magna. Cras convallis convallis dolor.	Donec dignissim magna a tortor. Nunc commodo auctor velit. Aliquam	0
254	370	268	5	469	filmy	id, libero. Donec consectetuer mauris id	crustu ilaeel neurt,s t ee firmnsiemit,irrlo	1
117	404	219	1	263	hry	sed, est. Nunc laoreet lectus quis massa. Mauris	vitae semper egestas, urna justo faucibus lectus,	0
709	401	221	6	214	hry	lacus. Quisque purus sapien, gravida non, sollicitudin a, malesuada id,	dictum eu, placerat eget, venenatis a, magna. Lorem ipsum dolor	1
460	139	198	5	428	kniha	In condimentum. Donec at arcu.	Integer mollis. Integer tincidunt aliquam	0
504	59	106	2	320	kniha	elit. Curabitur sed tortor. Integer	malesuada augue ut lacus. Nulla tincidunt, neque vitae semper egestas, urna justo	1
294	75	201	3	61	kniha	sed tortor. Integer aliquam adipiscing lacus. Ut nec urna	nunc risus varius orci, in consequat enim	0
316	133	133	11	338	hry	pellentesque. Sed dictum. Proin	sem mollis dui, in sodales elit erat vitae risus. Duis a mi	1
77	282	188	8	264	hry	ai ,usb sasscd a,ie cfdlmiu.ia u cusrtospiqueesscl lqiami Pahnav	neque sed sem egestas blandit. Nam nulla magna, malesuada vel, convallis in,	0
425	392	187	3	129	filmy	tellus justo sit amet nulla. Donec non	euismod urna. Nullam lobortis quam a felis ullamcorper	1
609	428	206	12	417	kniha	sed, est. Nunc laoreet lectus quis massa. Mauris	placerat velit. Quisque varius. Nam porttitor scelerisque neque. Nullam nisl. Maecenas malesuada fringilla est. Mauris	0
530	439	253	10	482	hry	laoreet, libero et tristique	posuere cubilia Curae	1
500	165	13	3	118	filmy	 .cieeustaeCuq edraiu s,supmld.n i eiuP 	molestie sodales. Mauris blandit enim consequat purus. Maecenas libero est, congue a, aliquet	0
521	145	5	2	72	filmy	nulla. Donec non justo. Proin	gravida. Aliquam tincidunt, nunc ac mattis ornare, lectus ante dictum mi, ac mattis	1
744	306	260	12	166	filmy	eros turpis non enim. Mauris	pharetra sed, hendrerit a, arcu. Sed et libero. Proin mi.	0
205	256	182	2	14	filmy	parturient montes, nascetur ridiculus	posuere cubilia Curae	1
786	77	43	4	464	kniha	a, malesuada id, erat. Etiam vestibulum	Mauris ut quam vel sapien imperdiet ornare. In faucibus. Morbi vehicula.	0
749	361	36	6	9	kniha	sed pede. Cum sociis natoque penatibus et magnis dis parturient	enim commodo hendrerit. Donec porttitor tellus non magna. Nam ligula	1
132	80	127	3	219	kniha	orci tincidunt adipiscing. Mauris molestie	condimentum. Donec at arcu. Vestibulum ante ipsum primis in faucibus orci luctus	0
418	192	54	8	523	kniha	nascetur ridiculus mus. Aenean eget	diam lorem, auctor quis, tristique ac,	1
289	450	202	1	110	filmy	ullamcorper magna. Sed eu eros. Nam consequat	Integer vitae nibh. Donec est mauris, rhoncus	0
585	263	155	3	362	hry	ac mattis ornare, lectus ante dictum mi, ac mattis velit	vitae, sodales at, velit. Pellentesque ultricies dignissim lacus. Aliquam rutrum lorem ac	1
411	177	103	1	307	filmy	nibh. Quisque nonummy ipsum non arcu. Vivamus	turpis. In condimentum. Donec at arcu. Vestibulum ante ipsum primis in	0
569	39	188	8	197	filmy	ttauaeuigirga  s.s sdiitpvvar	iaculis nec, eleifend non, dapibus rutrum, justo.	1
285	129	128	9	410	hry	Cras convallis convallis dolor. Quisque tincidunt pede ac urna. Ut	Nullam velit dui, semper et, lacinia	0
532	427	16	1	371	filmy	consectetuer adipiscing elit. Curabitur sed	pharetra, felis eget varius ultrices, mauris ipsum porta	1
211	257	157	8	267	filmy	Praesent eu dui. Cum sociis natoque	aliquet odio. Etiam ligula tortor, dictum eu, placerat	0
80	259	276	11	127	filmy	mauris sapien, cursus in, hendrerit consectetuer, cursus et, magna.	justo faucibus lectus, a sollicitudin orci	1
960	359	154	12	481	filmy	blandit congue. In scelerisque scelerisque dui. Suspendisse ac metus	varius orci, in consequat enim diam vel arcu. Curabitur ut	0
760	45	88	4	508	filmy	massa. Suspendisse eleifend. Cras sed	malesuada augue ut lacus. Nulla tincidunt, neque vitae semper egestas, urna justo	1
880	215	269	7	284	hry	vel turpis. Aliquam adipiscing lobortis risus. In mi pede,	id ante dictum cursus. Nunc mauris elit,	0
599	55	265	3	513	kniha	Nunc laoreet lectus quis massa. Mauris vestibulum, neque sed dictum	placerat velit. Quisque varius. Nam porttitor scelerisque neque. Nullam nisl. Maecenas malesuada fringilla est. Mauris	1
551	274	39	11	530	filmy	bmi eqe uslseptaoeuuet nseleqrosal n	eros non enim commodo hendrerit. Donec porttitor tellus non magna. Nam ligula elit, pretium	0
133	369	207	6	102	yrh	laoreet ipsum. Curabitur consequat, lectus sit amet luctus vulputate,	velit justo nec ante. Maecenas	1
190	245	59	3	518	hry	Integer in magna. Phasellus	ac mi eleifend egestas. Sed pharetra, felis eget varius ultrices, mauris	0
291	442	59	12	381	kniha	Aliquam ornare, libero at auctor ullamcorper, nisl arcu iaculis enim,	Morbi non sapien molestie orci tincidunt adipiscing. Mauris molestie pharetra nibh.	1
103	285	127	11	63	kniha	Phasellus dolor elit, pellentesque a, facilisis non,	parturient montes, nascetur ridiculus mus. Donec dignissim magna a tortor. Nunc commodo auctor velit. Aliquam	0
660	202	135	1	38	hry	porta elit, a feugiat tellus	malesuada augue ut lacus. Nulla tincidunt, neque vitae semper egestas, urna justo	1
852	391	101	6	89	filmy	eu neque pellentesque massa lobortis	luctus sit amet, faucibus ut, nulla. Cras eu tellus eu augue	0
959	111	151	1	323	hry	mauris erat eget ipsum. Suspendisse sagittis. Nullam vitae diam. Proin	tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper.	1
339	301	104	1	241	kniha	elit. Etiam laoreet, libero et tristique pellentesque,	torquent per conubia nostra, per inceptos hymenaeos. Mauris ut quam	0
607	414	252	10	114	kniha	eros non enim commodo hendrerit. Donec porttitor	vitae, aliquet nec, imperdiet nec, leo. Morbi neque	1
543	241	123	8	197	hry	natoque penatibus et magnis dis parturient montes, nascetur	lectus ante dictum mi, ac mattis velit justo nec ante. Maecenas	0
730	252	183	7	13	kniha	mattis velit justo nec ante. Maecenas mi felis, adipiscing	malesuada ut, sem. Nulla interdum. Curabitur dictum. Phasellus in felis. Nulla tempor augue ac	1
322	66	44	1	257	kniha	laoreet posuere, enim nisl elementum purus, accumsan	p cu u,a ,nu ualsttrlprodne m u   iuinfeecrc ptst,rtcssmsururie ls u eecmetDatseom	0
757	160	212	1	370	kniha	eget varius ultrices, mauris ipsum	mollis dui, in sodales elit erat vitae risus. Duis a	1
180	326	200	1	473	filmy	aaipi  u.rd scq. eusCd uieis,nuetlPeu em	magna. Cras convallis convallis dolor. Quisque tincidunt pede ac urna. Ut	0
836	352	100	6	252	hry	ipsum dolor sit amet, consectetuer adipiscing elit.	justo faucibus lectus, a sollicitudin orci sem eget massa. Suspendisse eleifend. Cras	1
366	364	33	11	478	filmy	ultrices. Vivamus rhoncus. Donec	a feugiat tellus lorem eu metus. In	0
943	77	267	8	64	hry	Aliquam tincidunt, nunc ac mattis ornare, lectus	non enim. Mauris quis turpis	1
803	349	271	6	25	kniha	malesuada fames ac turpis egestas. Aliquam fringilla cursus	posuere cubilia Curae	0
199	95	126	9	135	filmy	consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus.	non, vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem ipsum	1
345	134	125	12	252	liyfm	quam, elementum at, egestas a, scelerisque sed, sapien.	ligula consectetuer rhoncus. Nullam velit dui, semper et, lacinia vitae, sodales at, velit.	0
504	130	280	6	90	kniha	nisl sem, consequat nec, mollis vitae,	amet, consectetuer adipiscing elit. Aliquam auctor, velit eget laoreet posuere, enim nisl	1
755	344	251	5	295	kniha	augue ac ipsum. Phasellus vitae	enim. Suspendisse aliquet, sem ut cursus luctus, ipsum leo elementum sem, vitae aliquam eros	0
681	294	234	3	111	filmy	eros. Proin ultrices. Duis volutpat nunc sit amet metus.	a, malesuada id, erat. Etiam vestibulum massa rutrum magna. Cras convallis	1
657	34	253	1	139	kniha	Nullam nisl. Maecenas malesuada fringilla est. Mauris eu turpis. Nulla	in, cursus et, eros. Proin ultrices. Duis volutpat nunc sit amet metus. Aliquam	0
889	65	228	5	190	kniha	montes, nascetur ridiculus mus. Proin vel	Suspendisse non leo. Vivamus nibh dolor, nonummy	1
423	448	188	10	476	kniha	a, facilisis non, bibendum sed, est. Nunc laoreet	lacus, varius et, euismod et, commodo at, libero. Morbi accumsan laoreet ipsum. Curabitur	0
863	6	29	10	77	filmy	tincidunt tempus risus. Donec egestas. Duis	vel arcu. Curabitur ut odio vel est tempor bibendum.	1
739	173	154	7	125	kniha	sapien. Cras dolor dolor, tempus non,	sed pede nec ante blandit viverra. Donec tempus, lorem fringilla ornare	0
544	38	23	3	489	filmy	condimentum eget, volutpat ornare, facilisis	aliquam arcu. Aliquam ultrices iaculis odio. Nam interdum enim non nisi. Aenean eget	1
391	393	138	4	206	filmy	sapien, cursus in, hendrerit consectetuer, cursus et, magna. Praesent	sapien molestie orci tincidunt adipiscing. Mauris molestie pharetra nibh. Aliquam ornare, libero at auctor ullamcorper,	0
656	5	281	5	163	kniha	felis purus ac tellus.	diam eu dolor egestas rhoncus. Proin nisl sem, consequat nec,	1
285	398	8	2	388	filmy	Cras vehicula aliquet libero. Integer in magna. Phasellus	accumsan laoreet ipsum. Curabitur consequat, lectus sit amet luctus vulputate, nisi	0
528	203	152	12	523	filmy	metus. In lorem. Donec elementum,	fermentum fermentum arcu. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices	1
476	394	150	9	322	kniha	lectus. Cum sociis natoque	vel pede blandit congue. In scelerisque scelerisque dui. Suspendisse ac metus vitae velit egestas	0
521	275	139	2	171	hikan	In scelerisque scelerisque dui. Suspendisse ac metus vitae velit egestas	vitae semper egestas, urna justo faucibus lectus,	1
658	223	191	10	517	kniha	metus. Vivamus euismod urna. Nullam	lorem. Donec elementum, lorem ut aliquam iaculis, lacus pede sagittis augue, eu tempor	0
7	170	203	1	387	filmy	tempus scelerisque, lorem ipsum sodales purus, in molestie	Cras vehicula aliquet libero. Integer in magna. Phasellus dolor	1
720	320	130	4	85	hry	tellus justo sit amet nulla. Donec non	pede, malesuada vel, venenatis vel, faucibus id, libero. Donec consectetuer mauris	0
737	173	12	12	444	kniha	parturient montes, nascetur ridiculus mus. Proin vel nisl. Quisque fringilla	enim. Suspendisse aliquet, sem ut cursus luctus, ipsum leo elementum sem, vitae aliquam eros	1
616	364	101	12	158	filmy	tellus lorem eu metus. In lorem. Donec elementum, lorem ut	Nullam feugiat placerat velit. Quisque varius. Nam porttitor scelerisque neque. Nullam nisl. Maecenas malesuada fringilla	0
432	239	182	4	329	kniha	nec urna et arcu	taciti sociosqu ad litora torquent per conubia nostra, per inceptos hymenaeos. Mauris ut quam	1
672	7	81	4	532	hry	sdntuiemsfinur,d ilecuc e n	vitae, aliquet nec, imperdiet nec, leo. Morbi neque	0
828	286	93	5	460	filmy	sed leo. Cras vehicula aliquet libero. Integer in magna.	sct ugcis a  c saa abn.rs.DoimeMcrsou.reuDn uNrs uei.i	1
892	213	218	7	504	filmy	id magna et ipsum cursus vestibulum. Mauris	consectetuer rhoncus. Nullam velit dui, semper et, lacinia vitae, sodales at, velit. Pellentesque ultricies dignissim	0
477	395	145	2	514	hry	Lorem ipsum dolor sit amet, consectetuer	Cras lorem lorem, luctus ut, pellentesque eget, dictum placerat, augue. Sed molestie. Sed	1
605	91	240	6	474	kniha	 i. lrdnn...tmtam uueNeCsbmutcutl lillsePiarfur id e , uushsia	elit erat vitae risus. Duis a mi fringilla mi lacinia	0
789	129	90	3	263	hry	quam. Pellentesque habitant morbi tristique	rhoncus. Nullam velit dui, semper et, lacinia vitae, sodales at, velit. Pellentesque ultricies dignissim lacus.	1
736	41	161	10	162	filmy	facilisis non, bibendum sed, est. Nunc laoreet lectus quis massa.	lorem fringilla ornare placerat, orci lacus vestibulum	0
343	114	139	11	55	filmy	aptent taciti sociosqu ad	vel pede blandit congue. In scelerisque scelerisque dui. Suspendisse ac metus vitae velit egestas	1
183	419	267	7	35	hry	Etiam imperdiet dictum magna. Ut tincidunt orci quis	vestibulum. Mauris magna. Duis dignissim	0
379	384	129	10	130	filmy	mauris. Integer sem elit,	lorem. Donec elementum, lorem ut aliquam iaculis, lacus pede sagittis augue, eu tempor	1
9	126	157	3	69	kniha	eget, venenatis a, magna. Lorem ipsum dolor sit amet, consectetuer	Curae	0
119	122	196	2	383	hry	sem semper erat, in consectetuer ipsum	pellentesque a, facilisis non, bibendum sed, est. Nunc laoreet lectus quis	1
880	89	89	10	477	filmy	vitae diam. Proin dolor. Nulla semper tellus	est mauris, rhoncus id, mollis nec,	0
372	203	188	7	229	kniha	nunc risus varius orci, in consequat enim	tellus non magna. Nam ligula elit, pretium et, rutrum non,	1
294	189	243	10	343	kniha	Sed id risus quis diam luctus	elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet	0
361	2	272	6	370	hry	Nam ac nulla. In	eu lacus. Quisque imperdiet, erat nonummy ultricies ornare, elit elit fermentum	1
533	402	34	1	45	filmy	Nullam lobortis quam a	nec quam. Curabitur vel lectus. Cum sociis natoque penatibus et magnis dis	0
21	182	155	9	257	hry	pede ac urna. Ut tincidunt vehicula risus. Nulla	dolor dolor, tempus non, lacinia at, iaculis quis, pede. Praesent	1
375	246	279	5	80	kniha	Etiam gravida molestie arcu.	lacinia mattis. Integer eu lacus. Quisque imperdiet, erat nonummy ultricies ornare, elit elit fermentum	0
258	181	172	6	134	kniha	 l,uci sileooaniussnesPllfadsoeen, lpll, ir tet aeqh	Duis sit amet diam eu dolor egestas rhoncus. Proin nisl sem, consequat	1
392	274	11	6	344	hry	tellus. Phasellus elit pede, malesuada vel, venenatis	facilisis, magna tellus faucibus leo, in lobortis tellus justo sit	0
6	341	230	4	190	kniha	In lorem. Donec elementum, lorem ut aliquam	libero nec ligula consectetuer rhoncus. Nullam velit dui, semper et, lacinia vitae,	1
905	335	82	12	131	filmy	cursus et, eros. Proin ultrices. Duis	Etiam imperdiet dictum magna. Ut tincidunt orci quis lectus. Nullam	0
324	257	233	2	345	filmy	vitae nibh. Donec est	at sem molestie sodales. Mauris blandit enim consequat purus. Maecenas libero est, congue a,	1
323	19	270	9	199	kniha	natoque penatibus et magnis dis parturient montes, nascetur	accumsan laoreet ipsum. Curabitur consequat, lectus sit amet luctus vulputate, nisi	0
640	189	36	11	238	filmy	faucibus orci luctus et ultrices posuere cubilia Curae	 Donec tincidunt.	1
220	178	216	8	253	hry	feugiat metus sit amet	ante blandit viverra. Donec tempus, lorem	0
952	256	173	6	359	hry	orci lacus vestibulum lorem, sit amet ultricies sem magna	turpis. In condimentum. Donec at arcu. Vestibulum ante ipsum primis in faucibus	1
970	92	222	1	51	lyfim	vehicula. Pellentesque tincidunt tempus risus. Donec egestas.	mi. Duis risus odio, auctor vitae, aliquet nec, imperdiet nec, leo. Morbi	0
994	353	116	12	65	kniha	tortor nibh sit amet orci. Ut sagittis lobortis	sit amet ante. Vivamus non lorem vitae	1
377	431	30	3	33	filmy	porttitor interdum. Sed auctor odio a purus. Duis elementum,	blandit mattis. Cras eget nisi dictum augue malesuada	0
526	394	159	12	311	hry	Suspendisse dui. Fusce diam nunc, ullamcorper	vitae, sodales at, velit. Pellentesque ultricies dignissim lacus. Aliquam rutrum lorem ac	1
529	16	153	10	408	filmy	dui, nec tempus mauris erat eget ipsum.	posuere vulputate, lacus. Cras interdum. Nunc sollicitudin commodo ipsum. Suspendisse non leo. Vivamus nibh	0
618	428	231	1	2	kniha	et tristique pellentesque, tellus sem	congue. In scelerisque scelerisque dui. Suspendisse ac metus vitae velit	1
640	208	142	12	423	kniha	at, libero. Morbi accumsan laoreet ipsum.	vehicula. Pellentesque tincidunt tempus risus. Donec egestas. Duis ac arcu. Nunc mauris. Morbi	0
408	161	162	3	416	filmy	taciti sociosqu ad litora torquent	Pellentesque tincidunt tempus risus. Donec egestas. Duis ac arcu.	1
222	93	127	4	328	kniha	Phasellus dolor elit, pellentesque a, facilisis non,	Curabitur massa. Vestibulum accumsan neque et nunc. Quisque ornare	0
623	100	121	12	466	filym	elit. Curabitur sed tortor.	Cras dictum ultricies ligula. Nullam enim. Sed nulla ante, iaculis nec, eleifend non, dapibus rutrum,	1
440	116	122	5	124	kniha	ridiculus mus. Proin vel nisl. Quisque fringilla euismod	Duis cursus, diam at pretium aliquet, metus urna convallis	0
911	124	161	9	236	filmy	sem egestas blandit. Nam nulla magna, malesuada vel, convallis in,	non, vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem ipsum	1
797	156	40	4	185	filmy	nisl sem, consequat nec, mollis vitae,	consequat nec, mollis vitae, posuere at, velit. Cras	0
406	311	67	4	480	filmy	ligula. Nullam enim. Sed nulla ante, iaculis	placerat velit. Quisque varius. Nam porttitor scelerisque neque. Nullam nisl. Maecenas malesuada fringilla est. Mauris	1
31	195	122	11	235	filmy	laoreet posuere, enim nisl elementum purus, accumsan	gravida. Aliquam tincidunt, nunc ac mattis ornare, lectus ante dictum mi, ac mattis velit	0
440	41	219	1	347	hry	enim. Suspendisse aliquet, sem	vitae diam. Proin dolor. Nulla semper tellus id nunc interdum feugiat. Sed nec	1
344	11	164	9	453	hry	condimentum eget, volutpat ornare,	ligula tortor, dictum eu, placerat eget, venenatis	0
675	369	86	6	376	hry	et nunc. Quisque ornare tortor at risus. Nunc ac sem	mauris sit amet lorem semper auctor. Mauris vel turpis. Aliquam adipiscing lobortis risus. In	1
416	42	260	1	103	hry	vulputate, lacus. Cras interdum. Nunc sollicitudin commodo ipsum. Suspendisse	Vestibulum accumsan neque et nunc. Quisque ornare tortor at risus. Nunc ac sem ut	0
341	388	150	9	234	kniha	r.g etrurN emtslepmumerultcsu   F aea etseueu	orci, adipiscing non, luctus sit amet, faucibus ut, nulla. Cras eu tellus eu augue	1
842	240	225	12	464	hry	erat. Sed nunc est, mollis non, cursus non,	vehicula. Pellentesque tincidunt tempus risus. Donec egestas. Duis ac arcu. Nunc mauris. Morbi	0
857	182	246	4	196	filmy	conubia nostra, per inceptos hymenaeos. Mauris	pharetra nibh. Aliquam ornare, libero at auctor	1
829	169	262	6	495	kniha	vestibulum massa rutrum magna. Cras convallis convallis dolor.	Aliquam vulputate ullamcorper magna. Sed eu eros. Nam consequat dolor vitae	0
365	415	249	8	168	hry	eu tellus eu augue porttitor	ac metus vitae velit egestas lacinia. Sed	1
610	14	146	3	290	kniha	dolor dapibus gravida. Aliquam tincidunt, nunc	sapien molestie orci tincidunt adipiscing. Mauris molestie pharetra nibh. Aliquam ornare, libero at auctor ullamcorper,	0
298	220	265	11	415	hry	sit amet massa. Quisque porttitor eros nec tellus.	diam eu dolor egestas rhoncus. Proin nisl sem, consequat nec,	1
152	290	149	3	280	kniha	adipiscing, enim mi tempor lorem, eget mollis lectus	ac, eleifend vitae, erat. Vivamus nisi. Mauris nulla. Integer urna. Vivamus molestie dapibus ligula. Aliquam	0
619	270	122	3	180	filmy	pede sagittis augue, eu tempor erat neque non quam. Pellentesque	fermentum risus, at fringilla purus mauris a nunc. In at	1
662	218	93	1	485	filmy	lectus, a sollicitudin orci	taciti sociosqu ad litora torquent per conubia nostra, per inceptos hymenaeos. Mauris ut quam	0
754	300	238	9	509	hry	gravida sit amet, dapibus id, blandit at, nisi. Cum	nisi a odio semper cursus. Integer mollis. Integer	1
943	343	220	4	399	filmy	erat. Sed nunc est, mollis non, cursus non, egestas	Ut sagittis lobortis mauris. Suspendisse aliquet molestie tellus.	0
695	216	276	1	326	filmy	neasruuelcmc.suea rl, ,a,srsdoto ,uPomll aveaanln i ni gvnsi al 	euismod est arcu ac orci. Ut semper pretium neque. Morbi quis urna. Nunc	1
608	128	91	10	21	kniha	sapien. Nunc pulvinar arcu	e r,e qe uecMida,irabm.o neuecelpil qet vine,not it	0
356	347	20	6	135	kniha	cursus et, eros. Proin	lobortis ultrices. Vivamus rhoncus. Donec	1
995	127	93	8	101	kniha	elementum, dui quis accumsan convallis, ante	parturient montes, nascetur ridiculus mus. Donec dignissim magna a tortor. Nunc commodo auctor velit.	0
303	314	13	5	455	filmy	accumsan sed, facilisis vitae, orci. Phasellus dapibus quam quis	Suspendisse non leo. Vivamus nibh	1
77	401	14	11	285	filmy	sem ut cursus luctus, ipsum leo elementum	sit amet ante. Vivamus non lorem vitae	0
175	212	194	7	530	kniha	tincidunt tempus risus. Donec egestas. Duis	 diiavaapiiisrstuusparurDqt   gi iu.ssteu gvst	1
