id_faktura,id_zamestnanec,id_tovar,id_zakaznik,id_cas,id_pobocka,suma,naklady,vybavenie,poznamka,prevzatie,platba,stav_objednavky
1704,122,29,426,173,8,7.6014905237,448.3052667696,0,Nulla semper tellus id nunc interdum,osobny_odber,zaplatena,Pripravuje sa
195,117,14,531,653,7,79.1656658519,300.8850226644,1,purus mauris a nunc.,dobierka,zaplatena,Prijata
453,211,415,60,304,7,99.5988557115,20.4810651066,0,"nibh. Donec est mauris,",kurier,zaplatena,Pripravuje sa
732,194,338,178,459,10,36.2559407484,826.8211803865,0,eu sem. Pellentesque,kurier,zaplatena,Odoslana
94,225,200,440,661,3,75.0341181178,855.9412774164,1,"congue, elit sed consequat auctor, nunc",dobierka,nezaplatena,Vybavena
1395,17,377,149,433,10,7.6014905237,157.331111189,0,volutpat. Nulla dignissim. Maecenas ornare,kurier,nezaplatena,Pripravuje sa
1308,116,414,40,230,8,872.5120397285,51.0881644813,0,"molestie in, tempus eu,",osobny_odber,nezaplatena,Pripravuje sa
1257,222,323,283,200,2,29.8328091856,2.438671519,1,"id, erat. Etiam vestibulum massa rutrum",osobny_odber,nezaplatena,Pripravuje sa
1370,3,49,399,524,7,61.6811777931,297.4608148914,1,"nunc nulla vulputate dui, nec tempus",kurier,zaplatena,Vybavena
1641,118,19,452,529,2,44.2061138339,110.6235181913,0,lacus. Cras interdum. Nunc sollicitudin commodo,dobierka,zaplatena,Prijata
650,277,263,185,240,5,78.8403247949,764.5219114143,1,"a, auctor non, feugiat nec,",kurier,nezaplatena,Zrusena
246,52,346,26,791,7,301.9028063864,171.0769177414,0,vitae purus gravida sagittis. Duis gravida.,osobny_odber,zaplatena,Zrusena
851,275,187,201,721,10,20.1547039207,603.392742388,1,et magnis dis,osobny_odber,zaplatena,Pripravuje sa
1200,124,224,142,752,10,775.5693960935,881.7069707438,0,nonummy. Fusce fermentum fermentum,osobny_odber,nezaplatena,Odoslana
1110,221,339,511,216,11,7.6488726772,589.4497222267,0,purus mauris a nunc.,dobierka,nezaplatena,Pripravuje sa
882,81,66,270,825,12,707.4712221511,9.0086893179,0,turpis. Nulla aliquet. Proin velit. Sed,kurier,nezaplatena,Zrusena
395,53,249,298,131,1,478.2307096757,80.5694028921,1,"a purus. Duis elementum, dui quis",dobierka,zaplatena,Pripravuje sa
773,147,349,508,58,4,66.8266995344,14.3990995456,1,fermentum convallis ligula. Donec,dobierka,zaplatena,Zrusena
1938,145,50,13,66,8,7.6014905237,626.9234724808,0,consequat enim diam vel arcu.,osobny_odber,zaplatena,Vybavena
175,165,184,8,707,4,928.1399524771,584.0735808481,1,a mi fringilla mi,osobny_odber,nezaplatena,Zrusena
218,202,39,355,92,11,37.6287262421,47.9581276048,1,et libero. Proin mi. Aliquam gravida,dobierka,nezaplatena,Vybavena
944,186,256,457,811,4,90.6414876226,34.5899893669,0,sodales elit erat,dobierka,nezaplatena,Zrusena
1437,135,291,157,834,2,40.372877568,834.6869548783,1,"varius et, euismod et, commodo",dobierka,nezaplatena,Prijata
1264,108,275,154,903,8,21.7266720254,2.2459749179,1,vulputate ullamcorper magna. Sed,dobierka,nezaplatena,Prijata
737,178,99,452,348,11,64.7379150148,192.9836352356,0,at arcu. Vestibulum,osobny_odber,nezaplatena,Odoslana
1910,202,335,242,318,2,122.9150202125,81.3588904962,0,velit justo nec,dobierka,nezaplatena,Zrusena
1652,126,120,360,185,4,26.9284448586,64.5775346691,1,"nonummy ac, feugiat non, lobortis",dobierka,zaplatena,Pripravuje sa
348,82,370,211,216,4,78.8403247949,300.8850226644,1,consequat dolor vitae,dobierka,zaplatena,Vybavena
1728,74,253,325,752,3,91.6896018665,108.0277328845,0,"eu, ligula. Aenean",kurier,zaplatena,Pripravuje sa
825,258,393,369,421,12,11.5349931642,157.7200373635,0,nisi. Mauris nulla. Integer urna. Vivamus,kurier,zaplatena,Odoslana
186,265,102,361,418,4,658.8225569576,7.6858240832,0,nisi. Mauris nulla. Integer,dobierka,zaplatena,Vybavena
1567,121,334,255,797,8,89.521558769,30.8089402551,1,"sem, consequat nec, mollis vitae, posuere",kurier,nezaplatena,Vybavena
227,63,7,312,152,3,6.3364885282,46.3131369883,1,"egestas a, dui. Cras",osobny_odber,zaplatena,Vybavena
139,93,241,189,57,11,368.089991156,571.937022591,1,"porta elit, a feugiat tellus",dobierka,zaplatena,Prijata
922,80,378,322,895,8,801.9706150517,436.0907102935,1,primis in faucibus orci luctus et,kurier,nezaplatena,Pripravuje sa
837,123,90,71,917,12,61.7512811907,795.6241298933,0,metus vitae velit,osobny_odber,zaplatena,Prijata
384,57,349,128,977,9,354.1879323311,501.510832971,0,aptent taciti sociosqu,kurier,nezaplatena,Prijata
1166,71,22,310,302,10,783.0261248164,57.8843080066,1,condimentum. Donec at arcu. Vestibulum ante,kurier,zaplatena,Vybavena
1166,130,160,525,828,11,478.2307096757,157.7200373635,1,In ornare sagittis,kurier,nezaplatena,Pripravuje sa
956,39,391,190,570,5,153.7611279637,19.5540048229,0,lobortis augue scelerisque mollis. Phasellus libero,osobny_odber,nezaplatena,Vybavena
964,127,364,352,500,8,89.521558769,85.7847579522,1,"nec tempus scelerisque, lorem ipsum sodales",osobny_odber,nezaplatena,Zrusena
569,89,53,344,793,1,52.4433896411,32.3158880509,0,"vulputate dui, nec tempus",dobierka,zaplatena,Vybavena
1853,34,291,492,712,6,866.4034227841,860.4280284606,0,"varius orci, in consequat",dobierka,nezaplatena,Odoslana
290,153,311,318,43,3,227.4496247992,39.7855024505,0,magnis dis parturient,dobierka,nezaplatena,Zrusena
540,240,274,484,864,8,767.0343113132,36.127535007,0,"Duis risus odio, auctor vitae,",dobierka,zaplatena,Zrusena
85,228,43,196,601,6,833.4714383818,30.202024919,0,eget lacus. Mauris non dui nec,dobierka,zaplatena,Prijata
1950,16,251,123,647,9,98.9040077198,12.6697067264,0,"adipiscing non, luctus sit amet,",kurier,zaplatena,Vybavena
1750,89,299,305,961,1,29.2131357826,724.9499398749,1,ornare tortor at,dobierka,zaplatena,Prijata
1305,135,269,44,770,5,160.9500017948,229.0485267062,0,"dolor, nonummy ac,",kurier,nezaplatena,Odoslana
1235,43,263,271,35,6,56.7646272015,85.7847579522,1,"Suspendisse dui. Fusce diam nunc,",kurier,zaplatena,Prijata
1142,67,265,163,908,7,979.6744119376,11.7631677724,0,"venenatis a, magna. Lorem",osobny_odber,zaplatena,Odoslana
1116,158,358,173,305,5,171.0032969713,9.1760965856,1,feugiat metus sit,kurier,zaplatena,Vybavena
383,188,110,374,388,2,57.902628649,74.5753813488,1,id enim. Curabitur massa.,osobny_odber,zaplatena,Pripravuje sa
484,260,207,389,41,11,111.4057358354,650.1944197342,0,arcu. Sed et libero.,osobny_odber,nezaplatena,Vybavena
1722,88,42,525,346,9,209.1788756661,33.6527694203,1,Maecenas iaculis aliquet diam. Sed,dobierka,zaplatena,Odoslana
868,193,311,140,661,4,86.8850991596,443.868792057,1,"id, erat. Etiam vestibulum massa rutrum",kurier,nezaplatena,Pripravuje sa
1528,66,386,381,772,6,519.7545606643,84.3875708012,0,Cras sed leo.,dobierka,zaplatena,Pripravuje sa
1598,134,430,492,195,8,69.9919220526,86.7298456142,0,enim. Nunc ut erat. Sed,dobierka,nezaplatena,Vybavena
227,223,280,276,295,1,23.004323151,9.4292720966,1,nulla. Integer urna. Vivamus molestie dapibus,dobierka,nezaplatena,Pripravuje sa
764,221,176,194,566,12,10.0096547976,280.471398728,1,"quis accumsan convallis,",kurier,zaplatena,Prijata
755,188,202,247,490,3,687.68761307,27.7571323933,1,"odio a purus. Duis elementum, dui",dobierka,nezaplatena,Zrusena
995,6,133,1,565,2,16.4580258541,799.2038559169,1,et pede. Nunc sed,osobny_odber,nezaplatena,Odoslana
811,226,47,19,115,12,84.2481615953,157.331111189,1,"quis accumsan convallis,",osobny_odber,zaplatena,Vybavena
1598,182,399,63,660,12,88.5139494203,695.3181582503,1,Aenean euismod mauris,dobierka,nezaplatena,Pripravuje sa
883,257,50,393,789,3,76.3284106273,74.5753813488,0,cubilia Curae; Phasellus ornare.,dobierka,nezaplatena,Odoslana
155,257,372,332,398,8,775.5693960935,258.9245569892,0,"dui. Fusce aliquam,",osobny_odber,zaplatena,Zrusena
1263,144,395,302,955,9,31.3784926198,809.6588564571,0,condimentum. Donec at arcu. Vestibulum ante,osobny_odber,zaplatena,Pripravuje sa
328,43,159,166,19,9,564.7363611497,30.0433250656,0,pharetra. Quisque ac libero nec ligula,osobny_odber,nezaplatena,Pripravuje sa
622,264,375,409,157,10,173.4088235535,519.150704518,0,"Etiam laoreet, libero",osobny_odber,nezaplatena,Prijata
1782,5,386,97,180,2,52.4433896411,46.891336469,1,sit amet orci. Ut sagittis lobortis,dobierka,zaplatena,Pripravuje sa
1310,106,240,215,294,9,918.6902004294,36.3355898112,1,placerat velit. Quisque varius. Nam porttitor,dobierka,zaplatena,Odoslana
1590,160,401,230,893,1,99.3679859675,650.7500347216,0,sapien. Nunc pulvinar arcu,kurier,zaplatena,Zrusena
642,56,142,109,175,12,43.3689633384,30.0433250656,0,non enim commodo hendrerit. Donec,osobny_odber,nezaplatena,Zrusena
1029,197,161,37,120,1,95.3163977247,55.5130600138,1,pede. Suspendisse dui. Fusce,dobierka,zaplatena,Vybavena
1383,74,22,138,135,5,373.3514384367,690.3308801819,0,tincidunt dui augue eu tellus. Phasellus,dobierka,zaplatena,Odoslana
1382,128,76,283,795,11,722.4382441491,39.0320670046,1,massa rutrum magna. Cras convallis convallis,kurier,nezaplatena,Prijata
1829,53,237,67,284,5,795.5833934248,74.227044289,1,gravida mauris ut,kurier,nezaplatena,Vybavena
280,123,422,161,347,4,209.1788756661,47.9108183412,0,odio tristique pharetra. Quisque ac,osobny_odber,zaplatena,Zrusena
1395,227,442,272,717,9,99.3679859675,897.2320114262,0,egestas rhoncus. Proin nisl,kurier,zaplatena,Vybavena
548,123,162,98,678,10,254.4983630069,885.6239644345,0,metus vitae velit,osobny_odber,zaplatena,Vybavena
264,155,434,510,296,8,158.5934688337,48.8678722177,0,"ornare, facilisis eget, ipsum.",dobierka,zaplatena,Pripravuje sa
584,119,373,243,113,6,25.5561052356,165.6545442995,1,feugiat. Sed nec,dobierka,nezaplatena,Prijata
1570,122,178,437,732,1,29.8328091856,68.6955695646,1,"Cras lorem lorem, luctus ut, pellentesque",dobierka,nezaplatena,Odoslana
769,28,176,508,952,6,67.9625100456,47.199050677,1,"nibh. Donec est mauris, rhoncus id,",osobny_odber,nezaplatena,Zrusena
1652,247,1,421,771,4,722.4382441491,87.5261350069,1,vel est tempor,kurier,nezaplatena,Prijata
1657,137,231,330,287,7,984.0266271494,443.868792057,1,natoque penatibus et magnis dis,osobny_odber,zaplatena,Odoslana
1868,191,75,303,806,4,37.3919660226,13.4158292133,0,enim. Nunc ut erat. Sed,kurier,nezaplatena,Prijata
326,134,161,54,619,7,76.3284106273,651.0424705222,0,neque venenatis lacus. Etiam bibendum,osobny_odber,nezaplatena,Odoslana
922,214,305,370,763,2,77.7103644796,142.7341219503,1,Integer aliquam adipiscing lacus.,kurier,nezaplatena,Zrusena
1991,173,111,14,28,8,658.8225569576,33.8658536179,1,vitae sodales nisi,osobny_odber,zaplatena,Odoslana
901,279,256,318,662,3,89.3516916316,16.4680344192,1,tortor at risus. Nunc ac,osobny_odber,nezaplatena,Prijata
622,240,339,385,797,3,44.3148565944,62.5179130118,0,"augue ut lacus. Nulla tincidunt, neque",kurier,nezaplatena,Zrusena
1574,272,13,336,543,3,65.8202021383,77.7557096444,0,Integer aliquam adipiscing lacus.,dobierka,nezaplatena,Pripravuje sa
1787,238,331,67,745,11,62.1226501185,3.300132975,1,lectus sit amet,kurier,nezaplatena,Pripravuje sa
421,198,106,504,122,2,46.3880590629,7.5740314135,0,"congue a, aliquet",kurier,zaplatena,Vybavena
1137,229,174,67,169,7,29.7034971882,750.1242945436,0,libero. Proin sed turpis nec,dobierka,nezaplatena,Zrusena
1312,214,432,248,750,6,66.7298081331,34.695831514,0,"quis accumsan convallis,",dobierka,zaplatena,Vybavena
1868,139,154,147,151,9,2.7096350212,341.8797518592,1,"cursus et, eros. Proin ultrices.",dobierka,zaplatena,Zrusena
565,72,90,155,235,12,37.6287262421,810.280580353,0,purus mauris a nunc.,dobierka,zaplatena,Vybavena
3,98,412,137,707,5,998.5442454927,55.4256829061,1,"Sed pharetra, felis eget varius ultrices,",dobierka,zaplatena,Odoslana
944,101,41,362,431,10,49.9018662143,27.7571323933,1,id risus quis,osobny_odber,zaplatena,Vybavena
1625,123,248,383,455,7,64.7321545053,695.3181582503,0,"nec tempus scelerisque, lorem ipsum sodales",dobierka,nezaplatena,Zrusena
240,43,174,519,998,10,64.6997530013,8.0152097018,1,Nulla tempor augue ac,kurier,nezaplatena,Vybavena
1532,243,198,87,752,1,724.4508070871,341.8797518592,1,"et, rutrum non, hendrerit id, ante.",kurier,nezaplatena,Zrusena
885,110,394,400,423,1,81.2200806104,69.3514360115,0,"malesuada id, erat. Etiam vestibulum",kurier,zaplatena,Zrusena
922,142,28,232,614,3,974.7816827148,331.2809920404,1,enim. Nunc ut erat. Sed,kurier,zaplatena,Pripravuje sa
893,122,378,122,969,11,98.0628355406,31.4692033874,1,"quis accumsan convallis, ante lectus convallis",kurier,nezaplatena,Zrusena
1449,131,154,30,65,9,490.4314517044,28.3632455813,0,"Etiam ligula tortor, dictum eu, placerat",osobny_odber,nezaplatena,Vybavena
1472,70,295,2,823,3,53.2342426013,21.6877222527,0,"nisi nibh lacinia orci, consectetuer",osobny_odber,nezaplatena,Odoslana
1985,54,320,314,902,6,106.8670665845,13.002700964,0,vitae aliquam eros,osobny_odber,zaplatena,Vybavena
1425,267,44,77,828,7,53.2342426013,49.166957885,0,enim. Nunc ut erat. Sed,osobny_odber,zaplatena,Prijata
79,66,431,3,567,9,95.8268489689,835.3259572294,0,"lectus quis massa. Mauris vestibulum, neque",dobierka,nezaplatena,Vybavena
1167,22,424,181,600,6,752.4820347317,36.3400712376,0,nec tempus mauris erat eget,dobierka,zaplatena,Prijata
722,78,131,92,539,5,77.7103644796,410.8738455456,0,"et, eros. Proin ultrices.",kurier,nezaplatena,Zrusena
667,54,260,270,512,11,96.3664951269,223.0264720973,1,non sapien molestie orci tincidunt,dobierka,nezaplatena,Vybavena
1967,131,339,416,826,7,40.3880407102,12.3861199105,1,Proin mi. Aliquam gravida,osobny_odber,nezaplatena,Pripravuje sa
1650,31,271,469,533,10,547.0151128247,208.9692262933,1,mi. Duis risus,osobny_odber,zaplatena,Zrusena
572,114,83,259,895,11,67.586261034,171.0769177414,1,libero. Proin sed turpis nec,dobierka,zaplatena,Odoslana
1734,137,237,409,740,7,2.4955276866,52.886071899,0,Aliquam vulputate ullamcorper,kurier,zaplatena,Zrusena
1849,40,364,165,473,4,999.5216382667,18.1392335286,0,nulla. Cras eu tellus eu,dobierka,nezaplatena,Pripravuje sa
1314,21,444,440,34,4,18.2978160214,787.2492088471,1,egestas rhoncus. Proin nisl,osobny_odber,zaplatena,Zrusena
1119,206,226,392,270,11,890.6611744314,28.1997246249,0,"mauris. Integer sem elit,",kurier,zaplatena,Vybavena
1868,198,415,255,58,2,707.4712221511,60.127575486,0,"aliquam, enim nec tempus scelerisque, lorem",kurier,zaplatena,Zrusena
834,76,274,448,167,9,694.0063042566,834.6869548783,1,"nonummy ac, feugiat non, lobortis",kurier,zaplatena,Pripravuje sa
1535,214,126,428,53,5,511.3415680826,16.4190212823,1,at arcu. Vestibulum,dobierka,nezaplatena,Prijata
1323,79,193,303,41,12,696.5816360898,378.5574492998,0,pharetra. Quisque ac libero nec ligula,kurier,zaplatena,Vybavena
1631,147,121,307,878,11,95.3163977247,75.4396940349,0,metus. Aenean sed pede,osobny_odber,nezaplatena,Pripravuje sa
695,151,195,97,417,7,190.0854641572,55.4256829061,0,gravida mauris ut,kurier,nezaplatena,Vybavena
287,98,390,298,102,5,796.9356002286,448.3052667696,0,mauris id sapien. Cras,dobierka,zaplatena,Odoslana
45,12,30,312,345,10,516.6790182702,855.9412774164,1,cursus purus. Nullam,dobierka,nezaplatena,Pripravuje sa
784,243,438,13,449,6,801.9706150517,626.9234724808,1,"porta elit, a",dobierka,nezaplatena,Vybavena
959,129,327,146,338,8,14.9064769037,195.0478620362,0,cubilia Curae; Phasellus ornare.,kurier,zaplatena,Prijata
253,223,312,4,893,10,259.5125730149,331.2809920404,1,"cursus non, egestas a, dui. Cras",osobny_odber,zaplatena,Vybavena
382,87,103,180,309,5,355.0639022142,50.5162682338,1,enim. Nunc ut erat. Sed,osobny_odber,zaplatena,Zrusena
1250,163,118,511,62,10,41.8236453552,501.510832971,0,nec ante blandit viverra.,kurier,nezaplatena,Pripravuje sa
238,224,151,409,864,10,379.8663909547,6.2225188874,0,varius. Nam porttitor scelerisque neque.,osobny_odber,nezaplatena,Vybavena
966,47,148,277,463,7,33.3814722952,161.9123560376,0,"nonummy ut, molestie in,",kurier,nezaplatena,Zrusena
869,232,115,93,952,7,38.0625176709,410.8738455456,1,Aenean euismod mauris eu elit.,osobny_odber,zaplatena,Odoslana
1539,62,194,88,495,1,54.6299532056,881.7069707438,0,Cras sed leo.,kurier,zaplatena,Pripravuje sa
1332,116,142,302,385,9,415.627499111,86.2484970968,1,et netus et malesuada fames,dobierka,zaplatena,Prijata
1528,261,294,33,97,9,14.1772382427,510.3666481096,1,sed libero. Proin sed,kurier,nezaplatena,Odoslana
775,26,251,512,933,9,96.1937933229,253.3327504992,1,purus mauris a nunc.,kurier,zaplatena,Odoslana
393,112,35,112,138,3,40.3880407102,785.2608357556,0,Sed auctor odio,dobierka,nezaplatena,Odoslana
783,90,99,138,41,6,63.0455436651,55.5130600138,1,est. Mauris eu turpis.,kurier,nezaplatena,Odoslana
1174,273,388,214,798,4,111.4057358354,859.0104851872,1,Duis dignissim tempor arcu. Vestibulum ut,kurier,zaplatena,Zrusena
330,189,374,434,697,6,12.1172780637,188.3544370998,0,"pretium aliquet, metus urna convallis",kurier,zaplatena,Zrusena
1703,162,355,205,994,7,928.1399524771,28.1997246249,1,"blandit viverra. Donec tempus, lorem",kurier,nezaplatena,Pripravuje sa
67,161,189,62,900,12,511.3415680826,448.3052667696,1,volutpat nunc sit,osobny_odber,nezaplatena,Vybavena
1447,49,135,128,739,3,10.4402791709,331.2809920404,0,erat eget ipsum. Suspendisse sagittis. Nullam,kurier,nezaplatena,Zrusena
1376,16,371,26,426,1,67.586261034,380.486206105,0,lorem semper auctor. Mauris,dobierka,zaplatena,Vybavena
859,9,378,301,406,1,99.9618379865,38.53031551,1,"augue ut lacus. Nulla tincidunt, neque",dobierka,zaplatena,Vybavena
1502,134,238,390,935,1,343.5937650502,8.0152097018,0,sapien. Nunc pulvinar arcu,dobierka,nezaplatena,Pripravuje sa
1574,121,119,234,30,3,23.8512075506,356.5927068237,1,nec metus facilisis lorem tristique aliquet.,osobny_odber,nezaplatena,Vybavena
1989,88,354,58,350,8,98.1722326018,0.6068429165,0,luctus lobortis. Class aptent taciti,dobierka,nezaplatena,Pripravuje sa
174,96,219,122,766,7,66.7298081331,68.821659456,1,"ac mattis ornare,",kurier,nezaplatena,Odoslana
965,14,216,481,839,11,66.275964817,488.3528610226,0,Nullam nisl. Maecenas malesuada fringilla est.,kurier,zaplatena,Vybavena
1599,13,115,513,493,4,775.5693960935,157.7200373635,1,pede blandit congue.,osobny_odber,nezaplatena,Prijata
1653,77,221,158,18,3,52.3536819499,74.3288039044,0,lacus. Mauris non,dobierka,zaplatena,Prijata
1431,254,364,303,70,7,833.4714383818,13.6276389007,1,volutpat. Nulla dignissim. Maecenas ornare egestas,osobny_odber,nezaplatena,Vybavena
1695,101,163,100,936,5,174.8123457655,57.3277440621,0,"tincidunt orci quis lectus. Nullam suscipit,",kurier,nezaplatena,Vybavena
344,26,27,420,886,7,11.9552659336,9.0086893179,1,"ut dolor dapibus gravida. Aliquam tincidunt,",kurier,zaplatena,Vybavena
1321,152,78,502,65,6,975.2438208088,188.3544370998,0,"Sed nulla ante,",kurier,zaplatena,Pripravuje sa
332,280,336,462,107,9,681.0592114925,508.2627250347,0,varius. Nam porttitor scelerisque neque.,kurier,zaplatena,Pripravuje sa
223,146,122,171,14,4,11.5399855189,223.0264720973,0,sit amet ultricies sem,kurier,nezaplatena,Prijata
1334,149,272,378,870,4,71.752816299,64.5775346691,0,urna. Ut tincidunt,kurier,zaplatena,Vybavena
369,135,68,377,546,5,12.0145358145,19.9560656492,0,et libero. Proin mi. Aliquam gravida,kurier,nezaplatena,Vybavena
1016,76,72,349,930,2,87.2079356574,9.0162913268,0,Ut sagittis lobortis mauris. Suspendisse aliquet,osobny_odber,zaplatena,Zrusena
683,195,10,338,941,2,52.4433896411,31.908978587,1,sapien imperdiet ornare. In faucibus.,kurier,zaplatena,Odoslana
800,215,66,48,17,12,63.0455436651,76.7169193458,0,sem molestie sodales. Mauris blandit enim,dobierka,zaplatena,Pripravuje sa
773,160,290,518,951,9,42.0755682979,14.3990995456,1,dolor. Donec fringilla. Donec,dobierka,zaplatena,Prijata
812,29,181,459,937,1,519.7545606643,716.0250540823,0,"rhoncus. Nullam velit dui,",dobierka,nezaplatena,Vybavena
116,133,137,219,771,9,53.2342426013,40.1432523457,0,semper pretium neque.,osobny_odber,zaplatena,Prijata
1252,224,395,377,355,5,17.2047024127,721.3430284057,1,Aliquam erat volutpat. Nulla dignissim.,dobierka,zaplatena,Zrusena
476,59,129,340,497,3,64.6997530013,73.0711623654,0,"Etiam ligula tortor, dictum eu, placerat",osobny_odber,zaplatena,Vybavena
84,199,69,267,972,4,3.9886487648,276.8284635153,1,vel est tempor,osobny_odber,zaplatena,Prijata
174,144,235,415,837,6,872.5120397285,39.2697088374,1,"pretium aliquet, metus urna convallis",kurier,nezaplatena,Prijata
1475,119,264,28,660,12,823.2442573644,46.8016773462,0,"luctus ut, pellentesque eget, dictum placerat,",osobny_odber,nezaplatena,Vybavena
535,102,391,235,931,11,140.3971682303,0.6068429165,0,non sapien molestie orci tincidunt,kurier,zaplatena,Pripravuje sa
1265,245,15,169,805,10,93.7639675569,39.7855024505,0,netus et malesuada fames ac,osobny_odber,zaplatena,Zrusena
399,215,419,247,338,7,752.4820347317,69.3514360115,1,lobortis augue scelerisque mollis. Phasellus libero,kurier,nezaplatena,Zrusena
292,77,131,194,772,1,35.4544206522,78.1965892436,0,"fringilla, porttitor vulputate, posuere vulputate, lacus.",kurier,zaplatena,Zrusena
733,254,270,128,268,5,95.8316634409,31.686583478,1,eget odio. Aliquam vulputate,dobierka,nezaplatena,Pripravuje sa
1361,18,65,500,631,7,82.3606853373,585.2616657503,0,"ac mattis ornare, lectus ante dictum",kurier,nezaplatena,Prijata
1151,239,287,146,497,11,77.0571511239,33.6527694203,1,purus ac tellus. Suspendisse sed,kurier,zaplatena,Odoslana
1461,96,421,85,473,6,373.8707383163,61.1662590411,1,ac ipsum. Phasellus,kurier,nezaplatena,Zrusena
1727,271,291,170,667,4,775.5693960935,289.6819871385,0,"torquent per conubia nostra, per inceptos",osobny_odber,zaplatena,Pripravuje sa
1773,53,184,388,292,7,557.2342588566,704.7235123348,1,ornare lectus justo eu arcu. Morbi,kurier,nezaplatena,Pripravuje sa
212,226,330,464,278,9,422.7624512278,55.5761530716,1,"aliquam iaculis, lacus pede sagittis",osobny_odber,nezaplatena,Vybavena
497,283,393,453,418,3,179.9026178196,39.4083841564,1,sit amet orci. Ut sagittis lobortis,dobierka,nezaplatena,Prijata
1441,84,416,177,783,7,801.9706150517,67.8676300216,0,mus. Proin vel arcu eu,kurier,nezaplatena,Odoslana
1927,121,151,171,819,1,10.1956628729,67.9635464866,0,Integer aliquam adipiscing lacus.,kurier,zaplatena,Prijata
